,Player,Pos,BasePos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
95,Aaron Brooks,PG,PG,26.0,HOU,34.0,811.0,11.7,0.465,0.437,0.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,0.0,0.1,0.3,0.4,0.023,-1.3,-2.8,-4.1,-0.4
96,Aaron Brooks,PG,PG,26.0,PHO,25.0,473.0,15.6,0.533,0.335,0.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,0.0,0.6,0.1,0.7,0.07,1.3,-2.4,-1.1,0.1
97,Derrick Brown,SF,SF,23.0,TOT,49.0,576.0,12.9,0.588,0.076,0.458,8.5,12.2,10.3,9.5,1.8,1.4,18.2,15.5,0.0,0.5,0.5,1.0,0.083,-1.4,-0.1,-1.6,0.1
98,Derrick Brown,SF,SF,23.0,CHA,41.0,488.0,12.4,0.565,0.053,0.416,7.9,13.0,10.4,9.9,1.8,1.3,17.3,15.6,0.0,0.3,0.4,0.8,0.074,-1.7,0.0,-1.6,0.0
99,Derrick Brown,SF,SF,23.0,NYK,8.0,88.0,16.0,0.717,0.222,0.722,11.6,7.9,9.7,6.9,2.3,1.7,22.8,15.5,0.0,0.2,0.1,0.2,0.13,-0.2,-1.1,-1.2,0.0
100,Kwame Brown,C,C,28.0,CHA,66.0,1714.0,12.8,0.55,0.0,0.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,0.0,1.8,1.7,3.5,0.097,-1.9,-0.9,-2.8,-0.3
101,Shannon Brown,SG,SG,25.0,LAL,82.0,1568.0,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,0.0,1.1,1.9,3.1,0.093,-0.9,0.2,-0.8,0.5
102,Kobe Bryant*,SG,SG,32.0,LAL,82.0,2779.0,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,0.0,6.8,3.5,10.3,0.178,5.4,-0.2,5.2,5.0
103,Chase Budinger,SF,SF,22.0,HOU,78.0,1738.0,14.2,0.534,0.418,0.21,3.4,15.0,9.2,11.5,1.2,0.7,8.5,19.9,0.0,2.2,1.2,3.4,0.095,0.6,-0.8,-0.2,0.8
104,Caron Butler,SF,SF,30.0,DAL,29.0,867.0,14.2,0.523,0.172,0.233,3.1,12.5,8.0,9.1,1.7,0.7,10.5,25.1,0.0,0.2,1.0,1.2,0.067,-0.8,0.0,-0.9,0.2
105,Rasual Butler,SG,SG,31.0,TOT,47.0,770.0,6.2,0.446,0.574,0.114,1.5,10.1,5.9,5.3,0.5,1.5,8.8,15.8,0.0,-0.5,0.3,-0.1,-0.009,-2.3,-1.5,-3.8,-0.4
106,Rasual Butler,SG,SG,31.0,LAC,41.0,744.0,5.9,0.433,0.571,0.119,1.6,10.3,6.0,5.5,0.6,1.6,8.5,15.6,0.0,-0.5,0.3,-0.2,-0.013,-2.5,-1.5,-4.0,-0.4
107,Rasual Butler,SG,SG,31.0,CHI,6.0,26.0,14.5,0.727,0.636,0.0,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,0.0,0.0,0.0,0.1,0.107,2.5,-2.4,0.1,0.0
108,Andrew Bynum,C,C,23.0,LAL,54.0,1500.0,21.1,0.606,0.0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,0.0,3.8,2.8,6.6,0.21,1.8,1.4,3.2,2.0
