b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Wed, Nov 24, 1965",/boxscores/196511240DET.html,Baltimore Bullets,124,Detroit Pistons,130,Box Score,,,
"Wed, Nov 24, 1965",/boxscores/196511240CIN.html,St. Louis Hawks,108,Cincinnati Royals,112,Box Score,,,
"Thu, Nov 25, 1965",/boxscores/196511250STL.html,San Francisco Warriors,113,St. Louis Hawks,119,Box Score,,,
"Fri, Nov 26, 1965",/boxscores/196511260BAL.html,Los Angeles Lakers,107,Baltimore Bullets,110,Box Score,,,
"Fri, Nov 26, 1965",/boxscores/196511260BOS.html,Detroit Pistons,114,Boston Celtics,134,Box Score,,,"at Providence, RI"
"Fri, Nov 26, 1965",/boxscores/196511260CIN.html,New York Knicks,113,Cincinnati Royals,117,Box Score,,,
"Fri, Nov 26, 1965",/boxscores/196511260SFW.html,Philadelphia 76ers,132,San Francisco Warriors,120,Box Score,,,
"Sat, Nov 27, 1965",/boxscores/196511270BOS.html,Los Angeles Lakers,95,Boston Celtics,101,Box Score,,,
"Sat, Nov 27, 1965",/boxscores/196511270NYK.html,Cincinnati Royals,132,New York Knicks,129,Box Score,,,
"Sat, Nov 27, 1965",/boxscores/196511270SFW.html,Philadelphia 76ers,124,San Francisco Warriors,117,Box Score,,,
"Sat, Nov 27, 1965",/boxscores/196511270STL.html,Baltimore Bullets,110,St. Louis Hawks,136,Box Score,,,
"Sun, Nov 28, 1965",/boxscores/196511280BAL.html,St. Louis Hawks,102,Baltimore Bullets,110,Box Score,,,
"Sun, Nov 28, 1965",/boxscores/196511280DET.html,Los Angeles Lakers,128,Detroit Pistons,110,Box Score,,,
"Tue, Nov 30, 1965",/boxscores/196511300BAL.html,Philadelphia 76ers,108,Baltimore Bullets,129,Box Score,,,"at New York, NY"
"Tue, Nov 30, 1965",/boxscores/196511300CIN.html,Los Angeles Lakers,120,Cincinnati Royals,126,Box Score,,,
