b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Wed, Nov 8, 2000",/boxscores/200011080NYK.html,7:30p,Cleveland Cavaliers,99,New York Knicks,97,Box Score,,"19,763",
"Wed, Nov 8, 2000",/boxscores/200011080ORL.html,7:30p,Charlotte Hornets,96,Orlando Magic,90,Box Score,,"12,617",
"Wed, Nov 8, 2000",/boxscores/200011080DAL.html,8:00p,Vancouver Grizzlies,101,Dallas Mavericks,74,Box Score,,"11,500",
"Wed, Nov 8, 2000",/boxscores/200011080SAS.html,8:00p,Los Angeles Lakers,81,San Antonio Spurs,91,Box Score,,"26,065",
"Wed, Nov 8, 2000",/boxscores/200011080DEN.html,9:00p,Minnesota Timberwolves,107,Denver Nuggets,109,Box Score,OT,"10,549",
"Wed, Nov 8, 2000",/boxscores/200011080LAC.html,10:30p,Utah Jazz,93,Los Angeles Clippers,87,Box Score,OT,"10,292",
"Wed, Nov 8, 2000",/boxscores/200011080SAC.html,10:30p,Golden State Warriors,84,Sacramento Kings,115,Box Score,,"17,317",
"Thu, Nov 9, 2000",/boxscores/200011090CHH.html,7:30p,Seattle SuperSonics,102,Charlotte Hornets,94,Box Score,,"17,054",
"Thu, Nov 9, 2000",/boxscores/200011090NJN.html,7:30p,Detroit Pistons,108,New Jersey Nets,94,Box Score,,"10,000",
"Thu, Nov 9, 2000",/boxscores/200011090MIN.html,8:00p,Philadelphia 76ers,84,Minnesota Timberwolves,82,Box Score,,"16,119",
"Thu, Nov 9, 2000",/boxscores/200011090CHI.html,8:30p,Orlando Magic,90,Chicago Bulls,95,Box Score,,"21,844",
"Thu, Nov 9, 2000",/boxscores/200011090HOU.html,8:30p,Vancouver Grizzlies,78,Houston Rockets,85,Box Score,,"10,906",
"Thu, Nov 9, 2000",/boxscores/200011090PHO.html,9:00p,Atlanta Hawks,79,Phoenix Suns,88,Box Score,,"16,792",
"Thu, Nov 9, 2000",/boxscores/200011090POR.html,10:00p,Denver Nuggets,91,Portland Trail Blazers,107,Box Score,,"19,996",
"Fri, Nov 10, 2000",/boxscores/200011100TOR.html,7:00p,Cleveland Cavaliers,88,Toronto Raptors,115,Box Score,,"19,800",
"Fri, Nov 10, 2000",/boxscores/200011100WAS.html,7:00p,Indiana Pacers,86,Washington Wizards,74,Box Score,,"19,955",
"Fri, Nov 10, 2000",/boxscores/200011100BOS.html,7:30p,New York Knicks,103,Boston Celtics,101,Box Score,OT,"18,624",
"Fri, Nov 10, 2000",/boxscores/200011100DAL.html,8:00p,San Antonio Spurs,77,Dallas Mavericks,79,Box Score,,"17,296",
"Fri, Nov 10, 2000",/boxscores/200011100UTA.html,9:00p,Miami Heat,87,Utah Jazz,80,Box Score,,"19,093",
"Fri, Nov 10, 2000",/boxscores/200011100GSW.html,10:30p,Sacramento Kings,114,Golden State Warriors,107,Box Score,OT,"17,467",
"Fri, Nov 10, 2000",/boxscores/200011100LAC.html,10:30p,Atlanta Hawks,106,Los Angeles Clippers,115,Box Score,,"10,396",
"Sat, Nov 11, 2000",/boxscores/200011110NJN.html,1:00p,Seattle SuperSonics,91,New Jersey Nets,126,Box Score,,"14,443",
"Sat, Nov 11, 2000",/boxscores/200011110IND.html,7:00p,Detroit Pistons,84,Indiana Pacers,94,Box Score,,"18,345",
"Sat, Nov 11, 2000",/boxscores/200011110CLE.html,7:30p,Washington Wizards,73,Cleveland Cavaliers,86,Box Score,,"17,336",
"Sat, Nov 11, 2000",/boxscores/200011110NYK.html,7:30p,Charlotte Hornets,67,New York Knicks,81,Box Score,,"19,763",
"Sat, Nov 11, 2000",/boxscores/200011110PHI.html,8:00p,Boston Celtics,83,Philadelphia 76ers,85,Box Score,,"19,258",
"Sat, Nov 11, 2000",/boxscores/200011110CHI.html,8:30p,Toronto Raptors,98,Chicago Bulls,75,Box Score,,"22,387",
"Sat, Nov 11, 2000",/boxscores/200011110MIL.html,8:30p,Minnesota Timberwolves,103,Milwaukee Bucks,92,Box Score,,"18,717",
"Sat, Nov 11, 2000",/boxscores/200011110SAS.html,8:30p,Vancouver Grizzlies,78,San Antonio Spurs,91,Box Score,,"18,556",
"Sat, Nov 11, 2000",/boxscores/200011110PHO.html,9:00p,Miami Heat,82,Phoenix Suns,84,Box Score,,"18,120",
"Sat, Nov 11, 2000",/boxscores/200011110POR.html,10:00p,Houston Rockets,88,Portland Trail Blazers,111,Box Score,,"19,992",
"Sun, Nov 12, 2000",/boxscores/200011120DET.html,6:00p,Seattle SuperSonics,92,Detroit Pistons,101,Box Score,,"14,289",
"Sun, Nov 12, 2000",/boxscores/200011120DEN.html,9:00p,Los Angeles Clippers,79,Denver Nuggets,95,Box Score,,"10,842",
"Sun, Nov 12, 2000",/boxscores/200011120GSW.html,9:00p,Orlando Magic,105,Golden State Warriors,99,Box Score,OT,"13,626",
"Sun, Nov 12, 2000",/boxscores/200011120SAC.html,9:00p,Dallas Mavericks,84,Sacramento Kings,109,Box Score,,"17,317",
"Sun, Nov 12, 2000",/boxscores/200011120LAL.html,9:30p,Houston Rockets,99,Los Angeles Lakers,105,Box Score,,"18,997",
"Mon, Nov 13, 2000",/boxscores/200011130NJN.html,7:30p,Portland Trail Blazers,94,New Jersey Nets,82,Box Score,,"10,704",
"Mon, Nov 13, 2000",/boxscores/200011130LAC.html,10:30p,Dallas Mavericks,90,Los Angeles Clippers,76,Box Score,,"9,340",
"Tue, Nov 14, 2000",/boxscores/200011140ATL.html,7:30p,Portland Trail Blazers,97,Atlanta Hawks,99,Box Score,,"12,610",
"Tue, Nov 14, 2000",/boxscores/200011140CLE.html,7:30p,Golden State Warriors,86,Cleveland Cavaliers,96,Box Score,,"13,691",
"Tue, Nov 14, 2000",/boxscores/200011140MIA.html,7:30p,Charlotte Hornets,86,Miami Heat,89,Box Score,OT,"14,983",
"Tue, Nov 14, 2000",/boxscores/200011140SAC.html,8:00p,Orlando Magic,82,Sacramento Kings,96,Box Score,,"17,317",
"Tue, Nov 14, 2000",/boxscores/200011140HOU.html,8:30p,Chicago Bulls,83,Houston Rockets,110,Box Score,,"11,724",
"Tue, Nov 14, 2000",/boxscores/200011140SAS.html,8:30p,Utah Jazz,79,San Antonio Spurs,86,Box Score,,"18,053",
"Tue, Nov 14, 2000",/boxscores/200011140LAL.html,10:30p,Denver Nuggets,103,Los Angeles Lakers,119,Box Score,,"18,997",
"Tue, Nov 14, 2000",/boxscores/200011140SEA.html,10:30p,New York Knicks,75,Seattle SuperSonics,96,Box Score,,"17,072",
"Wed, Nov 15, 2000",/boxscores/200011150BOS.html,7:00p,Washington Wizards,109,Boston Celtics,116,Box Score,,"13,915",
"Wed, Nov 15, 2000",/boxscores/200011150PHI.html,7:00p,Cleveland Cavaliers,98,Philadelphia 76ers,107,Box Score,,"16,328",
"Wed, Nov 15, 2000",/boxscores/200011150DET.html,7:30p,Indiana Pacers,92,Detroit Pistons,88,Box Score,,"14,350",
"Wed, Nov 15, 2000",/boxscores/200011150MIL.html,8:00p,Atlanta Hawks,74,Milwaukee Bucks,84,Box Score,,"13,217",
"Wed, Nov 15, 2000",/boxscores/200011150MIN.html,8:00p,Golden State Warriors,90,Minnesota Timberwolves,92,Box Score,,"16,034",
"Wed, Nov 15, 2000",/boxscores/200011150NJN.html,8:00p,Miami Heat,91,New Jersey Nets,93,Box Score,,"13,504",
"Wed, Nov 15, 2000",/boxscores/200011150PHO.html,9:00p,Dallas Mavericks,78,Phoenix Suns,99,Box Score,,"16,652",
"Wed, Nov 15, 2000",/boxscores/200011150LAC.html,10:30p,New York Knicks,74,Los Angeles Clippers,78,Box Score,,"12,516",
