,Season,Lg,Age,Ht,Wt,G,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
36,1986-87,NBA,26.6,6-7,209.0,943.0,42.0,87.5,1.4,4.7,22.9,30.0,14.5,28.9,43.4,25.6,8.5,5.4,16.7,24.2,108.3,0.48,0.301,0.763,100.8,0.488,14.3,33.4,0.262,108.3
37,1985-86,NBA,26.8,6-7,208.0,943.0,42.0,86.2,0.9,3.2,22.3,29.4,13.8,28.6,42.4,25.3,8.5,5.1,17.4,24.5,107.2,0.487,0.282,0.756,102.1,0.493,14.9,32.4,0.258,107.2
38,1984-85,NBA,26.4,6-7,207.0,943.0,42.6,86.7,0.9,3.1,21.8,28.6,13.9,28.4,42.3,25.6,8.3,5.2,17.4,24.3,107.9,0.491,0.282,0.764,102.1,0.496,14.9,32.9,0.252,107.9
39,1983-84,NBA,26.4,6-7,206.0,943.0,42.5,86.4,0.6,2.3,22.0,29.0,13.9,28.2,42.1,25.6,8.3,5.2,17.5,25.2,107.6,0.492,0.25,0.76,101.4,0.495,15.0,33.0,0.255,107.6
40,1982-83,NBA,26.1,6-7,205.0,943.0,42.0,86.5,0.5,2.2,20.2,27.3,14.3,28.6,42.9,25.0,8.6,5.4,18.4,24.8,104.7,0.485,0.238,0.74,103.1,0.488,15.8,33.4,0.233,104.7
41,1981-82,NBA,26.2,6-7,205.0,943.0,42.7,86.9,0.6,2.2,21.0,28.1,14.1,28.7,42.8,24.8,8.4,5.3,17.5,25.8,106.9,0.491,0.262,0.746,100.9,0.495,15.0,33.0,0.241,106.9
42,1980-81,NBA,26.2,6-7,205.0,943.0,41.9,86.3,0.5,2.0,21.2,28.2,14.2,28.2,42.4,24.9,8.8,5.2,18.3,24.5,105.5,0.486,0.245,0.751,101.8,0.489,15.6,33.5,0.245,105.5
45,1979-80,NBA,26.4,6-6,204.0,902.0,42.0,87.3,0.7,2.7,20.5,26.8,14.5,28.8,43.3,24.9,9.1,5.1,18.2,23.5,105.3,0.481,0.28,0.764,103.1,0.486,15.5,33.5,0.235,105.3
46,1978-79,NBA,26.3,6-6,203.0,902.0,41.9,86.3,0.0,0.0,20.0,26.6,14.0,28.6,42.5,24.2,8.6,5.0,18.6,23.8,103.8,0.485,0.0,0.752,105.8,0.485,16.0,32.8,0.232,103.8
47,1977-78,NBA,26.2,6-6,204.0,902.0,40.5,86.4,0.0,0.0,19.9,26.4,13.9,29.9,43.8,23.3,8.9,4.8,18.7,23.4,100.9,0.469,0.0,0.752,106.7,0.469,16.0,31.8,0.23,100.9
48,1976-77,NBA,26.1,6-6,204.0,902.0,40.0,86.0,0.0,0.0,19.5,25.9,14.0,30.0,44.0,22.3,8.8,4.7,19.2,23.6,99.5,0.465,0.0,0.751,106.5,0.465,16.5,31.8,0.226,99.5
49,1975-76,NBA,26.5,6-6,204.0,738.0,39.6,86.4,0.0,0.0,19.1,25.4,13.5,31.1,44.6,21.7,8.4,4.2,18.6,23.4,98.3,0.458,0.0,0.751,105.5,0.458,16.0,30.3,0.221,98.3
50,1974-75,NBA,26.7,6-6,203.0,738.0,39.7,86.7,0.0,0.0,18.3,24.0,13.5,31.3,44.8,22.7,8.4,4.1,18.9,23.1,97.7,0.457,0.0,0.765,104.5,0.457,16.3,30.2,0.211,97.7
51,1973-74,NBA,26.9,6-6,205.0,697.0,39.8,86.7,0.0,0.0,18.1,23.5,13.6,31.0,44.6,22.8,8.0,4.3,19.2,22.0,97.7,0.459,0.0,0.771,107.8,0.459,16.5,30.5,0.209,97.7
