b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sun, Nov 14, 1982",/boxscores/198211140PHI.html,,Washington Bullets,93,Philadelphia 76ers,102,Box Score,,,
"Sun, Nov 14, 1982",/boxscores/198211140POR.html,,Phoenix Suns,102,Portland Trail Blazers,94,Box Score,,"12,666",
"Tue, Nov 16, 1982",/boxscores/198211160CHI.html,,Golden State Warriors,120,Chicago Bulls,125,Box Score,,"5,706",
"Tue, Nov 16, 1982",/boxscores/198211160MIL.html,,Indiana Pacers,103,Milwaukee Bucks,115,Box Score,,"10,620",
"Tue, Nov 16, 1982",/boxscores/198211160NYK.html,,Houston Rockets,93,New York Knicks,120,Box Score,,"7,262",
"Tue, Nov 16, 1982",/boxscores/198211160PHO.html,,Los Angeles Lakers,105,Phoenix Suns,113,Box Score,,"13,288",
"Tue, Nov 16, 1982",/boxscores/198211160POR.html,,Atlanta Hawks,87,Portland Trail Blazers,106,Box Score,,"12,666",
"Tue, Nov 16, 1982",/boxscores/198211160SAS.html,,Kansas City Kings,105,San Antonio Spurs,102,Box Score,,"8,943",
"Tue, Nov 16, 1982",/boxscores/198211160SDC.html,,Denver Nuggets,136,San Diego Clippers,130,Box Score,,"3,039",
"Wed, Nov 17, 1982",/boxscores/198211170BOS.html,,Houston Rockets,94,Boston Celtics,112,Box Score,,"15,320",
"Wed, Nov 17, 1982",/boxscores/198211170DAL.html,,Los Angeles Lakers,117,Dallas Mavericks,118,Box Score,,"17,134",
"Wed, Nov 17, 1982",/boxscores/198211170IND.html,,Golden State Warriors,122,Indiana Pacers,124,Box Score,OT,"3,076",
"Wed, Nov 17, 1982",/boxscores/198211170PHI.html,,Detroit Pistons,103,Philadelphia 76ers,120,Box Score,,"11,857",
"Wed, Nov 17, 1982",/boxscores/198211170SEA.html,,Atlanta Hawks,97,Seattle SuperSonics,119,Box Score,,"11,169",
"Wed, Nov 17, 1982",/boxscores/198211170UTA.html,,New Jersey Nets,97,Utah Jazz,101,Box Score,,"7,627",
"Wed, Nov 17, 1982",/boxscores/198211170WSB.html,,San Antonio Spurs,114,Washington Bullets,112,Box Score,,"6,889",
"Thu, Nov 18, 1982",/boxscores/198211180NYK.html,,Milwaukee Bucks,89,New York Knicks,77,Box Score,,"10,222",
"Thu, Nov 18, 1982",/boxscores/198211180PHO.html,,Denver Nuggets,118,Phoenix Suns,107,Box Score,,"9,640",
"Thu, Nov 18, 1982",/boxscores/198211180SDC.html,,Cleveland Cavaliers,98,San Diego Clippers,107,Box Score,,"2,923",
"Fri, Nov 19, 1982",/boxscores/198211190BOS.html,,San Antonio Spurs,111,Boston Celtics,119,Box Score,,"15,320",
"Fri, Nov 19, 1982",/boxscores/198211190CHI.html,,Utah Jazz,111,Chicago Bulls,127,Box Score,,"5,789",
"Fri, Nov 19, 1982",/boxscores/198211190DET.html,,Golden State Warriors,102,Detroit Pistons,106,Box Score,,"9,165",
"Fri, Nov 19, 1982",/boxscores/198211190IND.html,,Houston Rockets,109,Indiana Pacers,98,Box Score,,,
"Fri, Nov 19, 1982",/boxscores/198211190LAL.html,,Washington Bullets,92,Los Angeles Lakers,122,Box Score,,"14,945",
"Fri, Nov 19, 1982",/boxscores/198211190PHI.html,,Milwaukee Bucks,109,Philadelphia 76ers,121,Box Score,,"18,482",
"Fri, Nov 19, 1982",/boxscores/198211190POR.html,,New Jersey Nets,108,Portland Trail Blazers,118,Box Score,,"12,666",
