,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
153,Phil Hubbard,SF,25.0,CLE,31.0,2.0,735.0,5.8,12.5,0.467,0.0,0.0,0.0,5.8,12.4,0.469,4.2,5.7,0.726,4.2,5.6,9.8,1.2,1.3,0.1,3.0,5.7,15.8
154,Geoff Huston,PG,24.0,CLE,78.0,43.0,2409.0,4.9,10.0,0.484,0.0,0.1,0.3,4.8,9.9,0.486,2.3,3.0,0.765,0.8,1.4,2.2,8.8,1.0,0.2,2.6,2.5,12.0
155,Dan Issel*,C,33.0,DEN,81.0,81.0,2472.0,9.5,18.0,0.527,0.1,0.1,0.667,9.4,17.9,0.526,8.0,9.5,0.834,2.5,6.3,8.9,2.6,1.0,0.8,2.5,3.6,27.0
156,Tracy Jackson,SG,22.0,TOT,49.0,0.0,478.0,5.9,13.0,0.459,0.0,0.0,0.0,5.9,13.0,0.459,2.9,3.7,0.776,2.6,2.1,4.7,2.0,1.1,0.2,1.8,3.6,14.8
157,Tracy Jackson,SG,22.0,BOS,11.0,0.0,66.0,5.5,14.2,0.385,0.0,0.0,0.0,5.5,14.2,0.385,3.3,5.5,0.6,3.8,2.7,6.5,2.7,1.6,0.0,3.3,2.7,14.2
158,Tracy Jackson,SG,22.0,CHI,38.0,0.0,412.0,6.0,12.8,0.473,0.0,0.0,0.0,6.0,12.8,0.473,2.8,3.4,0.821,2.4,2.0,4.5,1.9,1.0,0.3,1.6,3.8,14.9
159,Clay Johnson,SG,25.0,LAL,7.0,0.0,65.0,6.1,11.1,0.55,0.0,0.0,0.0,6.1,11.1,0.55,1.7,3.3,0.5,4.4,2.2,6.6,3.9,1.7,1.7,3.9,7.2,13.8
160,Clemon Johnson,C,25.0,IND,79.0,42.0,1979.0,5.7,11.7,0.487,0.0,0.0,0.0,5.7,11.7,0.487,2.2,3.4,0.651,3.3,7.0,10.4,2.3,1.1,2.0,2.5,4.4,13.6
161,Dennis Johnson*,SG,27.0,PHO,80.0,77.0,2937.0,7.1,15.1,0.47,0.1,0.5,0.19,7.0,14.5,0.48,4.9,6.1,0.806,1.7,3.3,5.0,4.5,1.3,0.7,2.9,3.1,19.1
162,Eddie Johnson,SG,26.0,ATL,68.0,57.0,2314.0,7.1,15.7,0.45,0.1,0.5,0.233,7.0,15.3,0.457,4.6,6.0,0.764,1.0,2.0,3.0,5.6,1.6,0.2,2.9,2.9,18.8
163,Eddie Johnson,SF,22.0,KCK,74.0,27.0,1517.0,7.0,15.3,0.459,0.0,0.3,0.091,7.0,15.0,0.465,2.3,3.5,0.664,3.0,4.6,7.6,2.6,1.2,0.3,2.3,5.0,16.4
164,Frank Johnson,PG,23.0,WSB,79.0,29.0,2027.0,6.0,14.4,0.414,0.3,1.4,0.215,5.7,13.0,0.435,2.7,3.6,0.75,0.6,2.0,2.6,6.7,1.3,0.1,2.8,3.5,15.0
165,George Johnson,C,33.0,SAS,75.0,62.0,1578.0,2.1,4.4,0.467,0.0,0.0,0.0,2.1,4.4,0.467,1.0,1.5,0.672,3.5,6.9,10.4,1.8,0.5,5.3,2.1,5.9,5.1
166,George Johnson,PF,25.0,IND,59.0,4.0,720.0,6.0,14.5,0.412,0.0,0.1,0.0,6.0,14.4,0.415,3.0,4.0,0.75,3.6,7.2,10.8,2.0,1.8,1.2,3.4,7.3,15.0
167,John Johnson,SF,34.0,SEA,14.0,1.0,187.0,4.2,8.7,0.489,0.0,0.0,0.0,4.2,8.7,0.489,2.9,3.9,0.75,0.6,2.9,3.5,5.6,0.8,0.6,3.3,3.9,11.4
168,Magic Johnson*,SG,22.0,LAL,78.0,77.0,2991.0,6.7,12.5,0.537,0.1,0.3,0.207,6.6,12.1,0.546,4.0,5.2,0.76,3.0,6.0,9.0,8.9,2.5,0.4,3.4,2.7,17.4
169,Marques Johnson,SF,25.0,MIL,60.0,52.0,1900.0,7.7,14.4,0.532,0.0,0.1,0.0,7.7,14.3,0.534,3.4,4.9,0.7,2.9,4.0,6.9,4.0,1.1,0.7,2.7,2.7,18.8
171,Mickey Johnson,PF,29.0,MIL,76.0,71.0,1934.0,6.9,14.1,0.491,0.0,0.1,0.143,6.9,14.0,0.495,4.3,5.4,0.801,2.5,6.0,8.5,4.0,1.3,0.8,3.6,4.5,18.2
172,Ollie Johnson,SF,32.0,PHI,26.0,0.0,150.0,6.5,13.0,0.5,0.2,0.7,0.333,6.2,12.2,0.51,1.4,1.7,0.857,1.7,3.6,5.3,2.4,3.1,0.7,3.1,6.7,14.6
173,Reggie Johnson,PF,24.0,TOT,75.0,48.0,1904.0,6.6,12.5,0.53,0.0,0.0,0.0,6.6,12.5,0.531,2.2,2.9,0.756,2.6,5.9,8.5,1.4,0.6,1.1,1.9,4.9,15.5
174,Reggie Johnson,PF,24.0,SAS,21.0,17.0,504.0,6.7,13.9,0.485,0.0,0.0,0.0,6.7,13.9,0.485,2.3,2.9,0.8,3.1,6.7,9.8,1.4,0.5,1.1,1.9,4.8,15.7
175,Reggie Johnson,PF,24.0,CLE,23.0,22.0,617.0,5.5,10.2,0.537,0.0,0.0,0.0,5.5,10.2,0.537,2.0,2.6,0.795,2.5,4.8,7.3,1.3,0.4,1.0,1.4,4.3,13.0
176,Reggie Johnson,PF,24.0,KCK,31.0,9.0,783.0,7.5,13.5,0.556,0.0,0.0,0.0,7.5,13.4,0.558,2.3,3.3,0.708,2.5,6.2,8.7,1.4,0.9,1.2,2.3,5.4,17.3
177,Steve Johnson,C,24.0,KCK,78.0,50.0,1741.0,8.2,13.3,0.613,0.0,0.0,0.0,8.2,13.3,0.613,4.4,6.8,0.642,3.1,6.3,9.5,1.9,0.8,1.8,4.1,7.7,20.7
178,Vinnie Johnson,SG,25.0,TOT,74.0,15.0,1295.0,6.0,12.3,0.489,0.1,0.3,0.25,5.9,12.0,0.495,3.0,3.9,0.754,2.3,2.1,4.4,4.8,1.6,0.7,2.7,2.8,15.1
179,Vinnie Johnson,SG,25.0,SEA,7.0,0.0,104.0,3.1,7.6,0.409,0.0,0.3,0.0,3.1,7.3,0.429,3.1,4.2,0.75,2.4,2.8,5.2,3.8,2.1,0.7,1.7,2.8,9.3
180,Vinnie Johnson,SG,25.0,DET,67.0,15.0,1191.0,6.3,12.8,0.493,0.1,0.3,0.273,6.2,12.4,0.499,3.0,3.9,0.754,2.3,2.1,4.4,4.8,1.5,0.7,2.8,2.8,15.6
181,Bobby Jones*,PF,30.0,PHI,76.0,73.0,2181.0,6.9,12.2,0.564,0.0,0.0,0.0,6.9,12.1,0.567,4.3,5.5,0.79,1.8,4.7,6.5,3.1,1.6,1.8,2.4,3.5,18.1
182,Caldwell Jones,C,31.0,PHI,81.0,47.0,2446.0,3.4,6.8,0.497,0.0,0.0,0.0,3.4,6.8,0.5,2.6,3.2,0.817,2.4,8.0,10.4,1.5,0.6,2.1,2.3,4.4,9.4
183,Dwight Jones,PF,29.0,CHI,78.0,18.0,2040.0,5.3,10.1,0.53,0.0,0.0,1.0,5.3,10.1,0.529,3.0,4.2,0.723,2.8,6.2,8.9,2.0,0.9,0.6,2.7,3.8,13.7
184,Edgar Jones,PF,25.0,DET,48.0,19.0,802.0,6.4,11.6,0.548,0.0,0.1,0.5,6.3,11.5,0.549,4.0,5.8,0.698,3.1,6.1,9.3,1.8,1.3,4.1,3.0,6.7,16.8
185,Major Jones,PF,28.0,HOU,60.0,6.0,746.0,5.5,10.3,0.531,0.0,0.1,0.0,5.5,10.1,0.538,2.0,3.7,0.545,3.9,5.9,9.7,1.2,1.0,1.4,2.4,4.8,12.9
186,Eddie Jordan,PG,27.0,LAL,58.0,0.0,608.0,5.3,12.3,0.428,0.1,0.5,0.111,5.2,11.8,0.442,2.5,3.2,0.796,0.2,2.3,2.5,7.8,3.7,0.1,3.9,5.8,13.1
187,Jeff Judkins,SF,25.0,DET,30.0,0.0,251.0,4.4,11.6,0.383,0.1,1.4,0.1,4.3,10.2,0.423,2.3,3.7,0.615,2.0,2.9,4.9,2.0,0.9,0.7,1.3,4.7,11.3
188,Clarence Kea,PF,22.0,DAL,35.0,0.0,248.0,3.8,7.1,0.531,0.0,0.0,0.0,3.8,7.1,0.531,4.2,6.1,0.69,3.8,5.1,8.9,2.0,0.6,0.4,2.3,8.0,11.8
189,Rich Kelley,C,28.0,PHO,81.0,39.0,1892.0,4.5,9.6,0.467,0.0,0.0,0.0,4.5,9.6,0.468,3.2,4.2,0.749,3.2,6.3,9.5,5.6,1.2,1.4,4.6,5.6,12.2
190,Greg Kelser,SF,24.0,TOT,60.0,10.0,741.0,5.6,13.2,0.428,0.0,0.1,0.0,5.6,13.0,0.433,5.1,7.8,0.656,3.9,5.5,9.4,2.8,0.9,1.0,4.1,6.4,16.4
191,Greg Kelser,SF,24.0,DET,11.0,0.0,183.0,6.9,16.9,0.407,0.0,0.6,0.0,6.9,16.3,0.422,5.3,8.1,0.659,2.6,5.1,7.7,2.4,1.0,1.4,4.3,6.3,19.1
192,Greg Kelser,SF,24.0,SEA,49.0,10.0,558.0,5.2,11.9,0.438,0.0,0.0,0.0,5.2,11.9,0.438,5.0,7.7,0.655,4.3,5.6,9.9,2.9,0.8,0.9,4.0,6.4,15.5
193,Larry Kenon,PF,29.0,CHI,60.0,30.0,1036.0,6.7,14.3,0.466,0.0,0.0,0.0,6.7,14.3,0.466,1.7,3.1,0.568,2.5,3.8,6.3,2.3,1.0,0.2,2.8,2.5,15.1
194,Albert King,SF,22.0,NJN,76.0,52.0,1694.0,8.3,17.3,0.482,0.1,0.3,0.231,8.2,17.0,0.486,2.8,3.6,0.778,2.2,4.4,6.6,3.0,1.4,0.8,3.8,5.5,19.5
195,Bernard King*,SF,25.0,GSW,79.0,77.0,2861.0,9.3,16.4,0.566,0.0,0.1,0.2,9.3,16.4,0.568,4.4,6.3,0.705,1.8,4.1,5.9,3.5,1.0,0.3,3.4,3.6,23.1
196,Reggie King,SF,24.0,KCK,80.0,76.0,2609.0,5.3,10.4,0.509,0.0,0.0,0.0,5.3,10.4,0.509,2.8,3.9,0.705,2.2,5.0,7.2,2.4,1.2,0.4,2.1,3.0,13.3
197,Billy Knight,SF,29.0,IND,81.0,19.0,1803.0,7.5,15.3,0.495,0.2,0.6,0.281,7.4,14.6,0.504,4.7,5.6,0.826,1.9,3.2,5.1,2.4,1.3,0.3,2.7,2.6,19.9
199,Toby Knight,SF,26.0,NYK,40.0,0.0,550.0,6.7,12.0,0.557,0.0,0.0,0.0,6.7,12.0,0.557,1.1,1.6,0.68,2.2,3.2,5.4,1.5,0.9,0.7,1.4,4.8,14.5
200,Joel Kramer,PF,26.0,PHO,56.0,0.0,549.0,3.6,8.7,0.414,0.0,0.0,0.0,3.6,8.7,0.414,2.2,2.8,0.786,2.4,4.7,7.1,3.3,1.2,0.7,1.7,4.1,9.4
201,Kevin Kunnert,C,30.0,POR,21.0,0.0,237.0,3.0,7.3,0.417,0.0,0.0,0.0,3.0,7.3,0.417,1.4,2.6,0.529,3.0,7.0,10.0,2.7,0.5,0.9,2.7,7.7,7.4
202,Mitch Kupchak,PF,27.0,LAL,26.0,26.0,821.0,6.7,11.7,0.573,0.0,0.0,0.0,6.7,11.7,0.573,2.9,4.3,0.663,2.8,6.4,9.2,1.4,0.5,0.4,1.9,3.5,16.3
203,Sam Lacey,C,33.0,TOT,56.0,7.0,670.0,3.6,8.3,0.435,0.0,0.1,0.0,3.6,8.2,0.438,1.5,2.0,0.73,1.1,4.7,5.7,4.1,1.2,2.0,3.0,7.5,8.7
204,Sam Lacey,C,33.0,KCK,2.0,1.0,20.0,5.4,9.0,0.6,0.0,0.0,0.0,5.4,9.0,0.6,0.0,3.6,0.0,0.0,7.2,7.2,7.2,3.6,1.8,3.6,3.6,10.8
205,Sam Lacey,C,33.0,NJN,54.0,6.0,650.0,3.5,8.3,0.43,0.0,0.1,0.0,3.5,8.2,0.432,1.5,1.9,0.771,1.1,4.6,5.7,4.0,1.1,2.0,3.0,7.6,8.6
206,Tom LaGarde,C,26.0,DAL,47.0,28.0,909.0,4.5,10.7,0.42,0.0,0.1,0.0,4.5,10.6,0.423,3.4,6.6,0.518,2.5,5.8,8.3,1.9,0.7,0.7,3.2,5.5,12.4
207,Bill Laimbeer,C,24.0,TOT,80.0,34.0,1829.0,5.2,10.6,0.494,0.1,0.3,0.308,5.1,10.3,0.499,3.6,4.6,0.793,4.6,7.5,12.1,2.0,0.8,1.3,2.4,5.8,14.1
208,Bill Laimbeer,C,24.0,CLE,50.0,4.0,894.0,4.8,10.2,0.47,0.1,0.2,0.5,4.7,9.9,0.47,3.7,4.8,0.775,5.0,6.2,11.2,1.8,0.9,1.2,2.5,6.8,13.4
209,Bill Laimbeer,C,24.0,DET,30.0,30.0,935.0,5.6,10.9,0.516,0.0,0.3,0.143,5.6,10.6,0.525,3.5,4.3,0.813,4.2,8.9,13.1,2.1,0.7,1.3,2.3,4.9,14.8
210,John Lambert,PF,29.0,TOT,63.0,7.0,764.0,4.1,9.3,0.437,0.0,0.3,0.143,4.0,9.0,0.447,1.6,2.0,0.81,2.6,5.8,8.4,1.7,0.8,0.8,2.3,5.8,9.8
