,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
76,Togo Palazzi,SF,26.0,SYR,71.0,1053.0,14.7,0.437,0.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.1,1.7,0.076,0.0,0.0,0.0,0.0
77,Jim Palmer,C,25.0,CIN,67.0,1624.0,13.9,0.465,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.6,2.4,0.07,0.0,0.0,0.0,0.0
78,Med Park,SG,25.0,TOT,62.0,1126.0,13.0,0.474,0.0,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.5,1.9,0.081,0.0,0.0,0.0,0.0
79,Med Park,SG,25.0,STL,29.0,228.0,13.2,0.455,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.086,0.0,0.0,0.0,0.0
80,Med Park,SG,25.0,CIN,33.0,898.0,13.0,0.48,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.3,1.5,0.08,0.0,0.0,0.0,0.0
81,Jack Parr,C,22.0,CIN,66.0,1037.0,7.9,0.386,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.4,-0.3,-0.014,0.0,0.0,0.0,0.0
82,Bob Pettit*,PF,26.0,STL,72.0,2873.0,28.2,0.519,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,3.5,14.8,0.246,0.0,0.0,0.0,0.0
83,Dave Piontek,PF,24.0,CIN,72.0,1674.0,13.4,0.42,0.0,0.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.6,0.5,0.014,0.0,0.0,0.0,0.0
84,Frank Ramsey*,SG,27.0,BOS,72.0,2013.0,15.7,0.459,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.5,5.9,0.142,0.0,0.0,0.0,0.0
85,Hub Reed,C,22.0,STL,65.0,950.0,11.5,0.467,0.0,0.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.9,1.7,0.088,0.0,0.0,0.0,0.0
86,Guy Rodgers*,PG,23.0,PHW,45.0,1565.0,13.0,0.413,0.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.3,2.4,0.073,0.0,0.0,0.0,0.0
87,Phil Rollins,PG,25.0,TOT,44.0,691.0,13.1,0.423,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.7,0.048,0.0,0.0,0.0,0.0
88,Phil Rollins,G,25.0,PHW,23.0,251.0,12.5,0.403,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.055,0.0,0.0,0.0,0.0
89,Phil Rollins,PG,25.0,CIN,21.0,440.0,13.4,0.437,0.0,0.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.044,0.0,0.0,0.0,0.0
90,Lennie Rosenbluth,SF,26.0,PHW,29.0,205.0,8.9,0.339,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,0.2,-0.6,-0.135,0.0,0.0,0.0,0.0
91,Bill Russell*,C,24.0,BOS,70.0,2979.0,20.7,0.493,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,8.2,12.9,0.208,0.0,0.0,0.0,0.0
92,Woody Sauldsberry,C,24.0,PHW,72.0,2743.0,10.8,0.381,0.0,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,3.3,-0.6,-0.01,0.0,0.0,0.0,0.0
93,Dolph Schayes*,PF,30.0,SYR,72.0,2645.0,21.0,0.488,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,3.6,9.4,0.171,0.0,0.0,0.0,0.0
94,Kenny Sears,PF,25.0,NYK,71.0,2498.0,22.6,0.59,0.0,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,1.5,13.3,0.256,0.0,0.0,0.0,0.0
95,Frank Selvy,SG,26.0,NYK,68.0,1448.0,13.8,0.463,0.0,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.7,2.4,0.079,0.0,0.0,0.0,0.0
96,Paul Seymour,SG,31.0,SYR,21.0,266.0,11.0,0.406,0.0,0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.046,0.0,0.0,0.0,0.0
98,Chuck Share,C,31.0,STL,72.0,1713.0,12.1,0.469,0.0,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.9,3.3,0.091,0.0,0.0,0.0,0.0
