,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,MP,ORB,PF,PTS,Player,Pos,STL,TOV,TRB,Tm,Unnamed: 0,Yr,eFG%,Seasons
2277,293.0,3.225,652.0,0.0,0.0,7.0,88.0,198.0,31.0,287.0,293.0,3.2079999999999997,659.0,204.0,5.019,249.0,168.0,16.0,2268.0,152.0,256.0,790.0,Kornel David,N/A,69.0,136.0,439.0,N/A,819.0,14002.0,3.2079999999999997,3
2278,4069.0,7.349999999999999,8668.0,708.0,5.69,1996.0,3079.0,394.0,226.0,2551.0,4777.0,7.075,10664.0,2306.0,12.345,2967.0,893.0,449.0,27608.0,708.0,1791.0,12568.0,Ricky Davis,N/A,919.0,2008.0,3259.0,N/A,2103.0,32074.0,7.576,12
2279,931.0,2.0770000000000004,2107.0,288.0,1.9609999999999999,717.0,553.0,125.0,85.0,431.0,1219.0,2.048,2824.0,531.0,4.0649999999999995,677.0,212.0,206.0,7490.0,178.0,551.0,3257.0,Michael Dickerson,N/A,213.0,407.0,609.0,N/A,655.0,10005.0,2.38,5
2280,1385.0,5.259,3152.0,1.0,0.5,8.0,387.0,307.0,245.0,1550.0,1386.0,5.251,3160.0,434.0,9.362,544.0,659.0,84.0,9818.0,670.0,1457.0,3207.0,Michael Doleac,N/A,223.0,424.0,2220.0,N/A,1717.0,24043.0,5.252000000000001,10
2281,269.0,2.116,692.0,150.0,2.067,404.0,524.0,159.0,10.0,239.0,419.0,2.073,1096.0,93.0,4.3790000000000004,112.0,243.0,46.0,3970.0,56.0,291.0,1081.0,Bryce Drew,N/A,123.0,209.0,295.0,N/A,840.0,12009.0,2.436,6
2282,9.0,0.321,28.0,6.0,0.261,23.0,18.0,23.0,1.0,18.0,15.0,0.294,51.0,15.0,0.75,20.0,24.0,0.0,205.0,3.0,18.0,51.0,Marlon Garnett,N/A,5.0,12.0,21.0,N/A,165.0,1999.0,0.353,1
2283,848.0,4.186,1956.0,631.0,3.3270000000000004,1587.0,443.0,265.0,104.0,1114.0,1479.0,3.9770000000000003,3543.0,428.0,7.3469999999999995,531.0,552.0,107.0,11062.0,343.0,1274.0,4017.0,Pat Garrity,N/A,246.0,417.0,1457.0,N/A,1766.0,20035.0,4.683,10
2284,15.0,1.561,35.0,0.0,0.0,0.0,3.0,105.0,1.0,10.0,15.0,1.561,35.0,3.0,0.375,8.0,22.0,0.0,124.0,9.0,25.0,33.0,Paul Grant,N/A,3.0,11.0,19.0,N/A,753.0,8001.0,1.561,2
2285,2742.0,5.030000000000001,5559.0,158.0,3.71,474.0,907.0,297.0,112.0,2085.0,2900.0,5.011,6033.0,1687.0,8.350999999999999,2239.0,665.0,349.0,17584.0,1281.0,1748.0,7645.0,Matt Harpring,N/A,497.0,1000.0,3366.0,N/A,2276.0,22044.0,5.178,11
2286,4780.0,9.173,10072.0,1275.0,6.27,3541.0,1900.0,516.0,292.0,4688.0,6055.0,8.569,13613.0,2606.0,14.276,3567.0,1132.0,579.0,33118.0,1745.0,3565.0,15991.0,Al Harrington,N/A,1011.0,2168.0,6433.0,N/A,4325.0,40136.0,9.491,16
2287,33.0,0.363,91.0,2.0,0.4,5.0,22.0,22.0,4.0,27.0,35.0,0.365,96.0,25.0,0.556,45.0,30.0,0.0,331.0,20.0,29.0,97.0,J.R. Henderson,N/A,9.0,18.0,47.0,N/A,201.0,1999.0,0.375,1
2288,4125.0,8.531,9744.0,738.0,6.22,2347.0,2932.0,561.0,329.0,2990.0,4863.0,8.149000000000001,12091.0,2882.0,15.985000000000001,3786.0,977.0,639.0,29306.0,929.0,2141.0,13346.0,Larry Hughes,N/A,1430.0,2011.0,3919.0,N/A,5142.0,42120.0,8.897000000000002,13
2289,45.0,0.446,101.0,1.0,0.14300000000000002,7.0,8.0,47.0,11.0,24.0,46.0,0.426,108.0,21.0,0.6559999999999999,32.0,28.0,8.0,272.0,30.0,29.0,114.0,Randell Jackson,N/A,3.0,26.0,54.0,N/A,459.0,3999.0,0.431,2
2290,210.0,2.858,398.0,18.0,0.75,49.0,68.0,120.0,6.0,98.0,228.0,2.672,447.0,64.0,3.168,87.0,120.0,10.0,1433.0,53.0,247.0,538.0,Sam Jacobson,N/A,63.0,67.0,151.0,N/A,1165.0,10000.0,2.717,3
2291,650.0,4.61,1337.0,0.0,0.0,2.0,118.0,259.0,384.0,706.0,650.0,4.607,1339.0,240.0,5.151,389.0,358.0,180.0,4771.0,393.0,989.0,1540.0,Jerome James,N/A,92.0,403.0,1099.0,N/A,2306.0,18043.0,4.607,9
2292,6909.0,8.613999999999999,14448.0,1248.0,5.986,3612.0,1845.0,538.0,442.0,6019.0,8157.0,8.055,18060.0,3715.0,12.604,5160.0,1149.0,928.0,40044.0,2693.0,2759.0,21277.0,Antawn Jamison,N/A,1119.0,1805.0,8712.0,N/A,4890.0,36124.0,8.685,16
2293,633.0,5.689,1467.0,1007.0,5.832999999999999,2590.0,1944.0,387.0,21.0,1040.0,1640.0,5.832000000000002,4057.0,397.0,10.279,548.0,736.0,115.0,14417.0,133.0,745.0,4684.0,Damon Jones,N/A,288.0,608.0,1173.0,N/A,3950.0,30042.0,7.612000000000001,11
2294,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,Jonathan Kerner,N/A,0.0,0.0,0.0,N/A,250.0,1999.0,0.0,1
2295,235.0,1.4420000000000002,467.0,0.0,0.0,0.0,84.0,81.0,27.0,264.0,235.0,1.4420000000000002,467.0,96.0,2.153,129.0,126.0,31.0,1829.0,129.0,238.0,566.0,Gerard King,N/A,50.0,92.0,393.0,N/A,781.0,6000.0,1.4420000000000002,3
2296,2066.0,6.039000000000001,4118.0,582.0,3.657,1583.0,695.0,315.0,1132.0,2832.0,2648.0,5.470999999999999,5701.0,863.0,8.547,1217.0,641.0,514.0,17000.0,1170.0,2144.0,6741.0,Raef LaFrentz,N/A,331.0,605.0,4002.0,N/A,3413.0,24039.0,5.999,10
2297,4022.0,8.691000000000003,8192.0,1874.0,6.462000000000001,4869.0,1857.0,486.0,571.0,4234.0,5896.0,7.916999999999999,13061.0,2581.0,14.037999999999998,3207.0,1106.0,894.0,35365.0,1489.0,2589.0,16247.0,Rashard Lewis,N/A,1167.0,1664.0,5723.0,N/A,5767.0,36126.0,9.162,16
2298,694.0,2.6220000000000003,1553.0,67.0,2.001,199.0,359.0,154.0,92.0,571.0,761.0,2.58,1752.0,409.0,3.939,611.0,319.0,128.0,5710.0,267.0,607.0,1998.0,Felipe Lopez,N/A,223.0,337.0,838.0,N/A,1698.0,12004.0,2.7190000000000003,4
2299,1663.0,7.679999999999999,3630.0,581.0,6.961999999999999,1478.0,2183.0,462.0,11.0,1031.0,2244.0,7.468,5108.0,901.0,12.811000000000002,1084.0,718.0,225.0,15828.0,161.0,1345.0,5970.0,Tyronn Lue,N/A,338.0,814.0,1192.0,N/A,5348.0,34088.0,8.528,11
2300,254.0,5.103,553.0,5.0,1.45,25.0,50.0,324.0,87.0,343.0,259.0,4.907,578.0,115.0,7.463,173.0,230.0,11.0,2275.0,158.0,342.0,638.0,Sean Marks,N/A,33.0,116.0,501.0,N/A,3574.0,22060.0,4.948,11
2301,2.0,0.667,3.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,2.0,0.667,3.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,4.0,Kelly McCarty,N/A,0.0,2.0,3.0,N/A,299.0,1999.0,0.667,1
