,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
34,Frank Brickowski,PF,27.0,LAL,37.0,0.0,404.0,6.2,11.0,0.564,0.0,0.0,0.0,6.2,11.0,0.564,4.7,6.9,0.678,4.7,6.7,11.3,1.4,1.6,0.5,2.9,12.3,17.1,0.0,115.0,106.0
35,Frank Brickowski,C,27.0,SAS,7.0,0.0,83.0,5.7,17.1,0.333,0.0,2.3,0.0,5.7,14.8,0.385,5.7,6.3,0.909,4.6,6.3,10.8,2.8,3.4,1.1,4.0,7.4,17.1,0.0,92.0,107.0
36,Junior Bridgeman,SF,33.0,MIL,34.0,4.0,418.0,9.0,19.6,0.462,0.1,0.7,0.167,8.9,18.9,0.473,1.8,2.3,0.8,1.6,4.3,6.0,4.0,1.1,0.2,1.7,5.7,20.0,0.0,104.0,109.0
37,Mike Brittain,C,23.0,SAS,6.0,0.0,29.0,6.5,14.7,0.444,0.0,0.0,0.0,6.5,14.7,0.444,1.6,3.3,0.5,3.3,3.3,6.5,3.3,1.6,0.0,3.3,4.9,14.7,0.0,92.0,113.0
38,Michael Brooks,SF,28.0,IND,10.0,0.0,148.0,4.3,12.1,0.351,0.0,0.0,0.0,4.3,12.1,0.351,2.3,3.3,0.7,3.0,6.2,9.2,3.6,3.0,0.0,3.6,6.2,10.8,0.0,82.0,104.0
39,Mike Brown,C,23.0,CHI,62.0,3.0,818.0,6.5,12.3,0.527,0.0,0.0,0.0,6.5,12.3,0.527,2.8,4.4,0.639,4.3,8.8,13.1,1.5,1.2,0.4,3.6,7.9,15.8,0.0,101.0,107.0
40,Tony Brown,SG,26.0,NJN,77.0,67.0,2339.0,7.2,16.3,0.442,0.1,0.4,0.25,7.1,15.9,0.447,3.1,4.2,0.738,1.7,2.7,4.4,5.2,1.8,0.3,3.1,5.5,17.6,0.0,100.0,113.0
41,Michael Cage,PF,25.0,LAC,80.0,76.0,2922.0,7.3,14.0,0.521,0.0,0.0,0.0,7.3,14.0,0.522,5.5,7.5,0.73,5.7,9.1,14.8,2.1,1.6,1.1,2.7,3.5,20.1,0.0,115.0,110.0
42,Tony Campbell,SF,24.0,DET,40.0,0.0,332.0,8.2,20.7,0.393,0.0,0.4,0.0,8.2,20.3,0.401,3.4,5.6,0.615,3.0,5.3,8.3,2.7,1.7,0.1,4.9,5.7,19.7,0.0,84.0,107.0
43,Rick Carlisle,SG,27.0,BOS,42.0,0.0,297.0,4.9,15.1,0.326,0.8,2.6,0.313,4.1,12.5,0.329,2.5,3.3,0.75,1.3,3.6,4.9,5.7,1.3,0.0,4.1,4.6,13.1,0.0,82.0,110.0
44,Antoine Carr,PF,25.0,ATL,65.0,2.0,695.0,9.5,18.8,0.506,0.1,0.2,0.333,9.4,18.6,0.508,5.2,7.3,0.709,4.3,6.8,11.1,2.4,1.0,3.4,2.8,10.3,24.2,0.0,113.0,104.0
46,Kenny Carr,PF,31.0,POR,49.0,43.0,1443.0,6.4,12.6,0.504,0.0,0.1,0.0,6.4,12.6,0.506,4.0,5.4,0.746,4.1,11.7,15.8,2.6,0.9,0.4,3.3,5.0,16.7,0.0,108.0,107.0
47,Joe Barry Carroll,C,28.0,GSW,81.0,81.0,2724.0,12.0,25.3,0.472,0.0,0.0,0.0,12.0,25.3,0.472,5.9,7.5,0.787,3.0,7.2,10.2,3.7,1.6,2.1,3.9,4.4,29.8,0.0,105.0,109.0
48,Bill Cartwright,C,29.0,NYK,58.0,50.0,1989.0,8.2,15.5,0.531,0.0,0.0,0.0,8.2,15.5,0.531,8.5,10.7,0.79,3.2,7.7,10.9,2.4,1.0,0.6,3.1,4.6,24.9,0.0,119.0,111.0
