,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
37,Kent Bazemore,SF,30.0,POR,43.0,21.0,1111.0,113.0,326.0,0.347,56.0,171.0,0.327,57.0,155.0,0.368,0.433,58.0,72.0,0.806,13.0,159.0,172.0,61.0,45.0,31.0,60.0,121.0,340.0
38,Kent Bazemore,SG,30.0,SAC,11.0,0.0,222.0,31.0,82.0,0.378,10.0,30.0,0.333,21.0,52.0,0.404,0.439,22.0,31.0,0.71,8.0,37.0,45.0,11.0,11.0,4.0,12.0,28.0,94.0
39,Darius Bazley,PF,19.0,OKC,53.0,8.0,909.0,88.0,230.0,0.383,30.0,100.0,0.3,58.0,130.0,0.446,0.448,32.0,47.0,0.681,21.0,175.0,196.0,29.0,20.0,35.0,40.0,45.0,238.0
40,Bradley Beal,SG,26.0,WAS,46.0,46.0,1635.0,459.0,1011.0,0.454,117.0,363.0,0.322,342.0,648.0,0.528,0.512,305.0,362.0,0.843,45.0,158.0,203.0,285.0,48.0,18.0,148.0,99.0,1340.0
41,Malik Beasley,SG,23.0,TOT,44.0,3.0,844.0,141.0,357.0,0.395,72.0,194.0,0.371,69.0,163.0,0.423,0.496,37.0,43.0,0.86,13.0,84.0,97.0,57.0,33.0,6.0,43.0,58.0,391.0
42,Malik Beasley,SG,23.0,DEN,41.0,0.0,746.0,117.0,301.0,0.389,58.0,161.0,0.36,59.0,140.0,0.421,0.485,33.0,38.0,0.868,9.0,68.0,77.0,48.0,31.0,6.0,36.0,50.0,325.0
43,Malik Beasley,SG,23.0,MIN,3.0,3.0,98.0,24.0,56.0,0.429,14.0,33.0,0.424,10.0,23.0,0.435,0.554,4.0,5.0,0.8,4.0,16.0,20.0,9.0,2.0,0.0,7.0,8.0,66.0
44,Marco Belinelli,SG,33.0,SAS,47.0,0.0,710.0,89.0,240.0,0.371,46.0,133.0,0.346,43.0,107.0,0.402,0.467,32.0,41.0,0.78,3.0,73.0,76.0,61.0,9.0,0.0,14.0,38.0,256.0
45,Jordan Bell,C,25.0,MIN,27.0,0.0,235.0,32.0,60.0,0.533,2.0,9.0,0.222,30.0,51.0,0.588,0.55,17.0,29.0,0.586,28.0,50.0,78.0,14.0,2.0,10.0,18.0,17.0,83.0
46,DeAndre' Bembry,SG,25.0,ATL,43.0,4.0,915.0,104.0,228.0,0.456,15.0,65.0,0.231,89.0,163.0,0.546,0.489,26.0,48.0,0.542,34.0,118.0,152.0,81.0,55.0,19.0,60.0,84.0,249.0
47,Dragan Bender,SF,22.0,MIL,7.0,0.0,91.0,10.0,21.0,0.476,4.0,9.0,0.444,6.0,12.0,0.5,0.571,2.0,3.0,0.667,0.0,20.0,20.0,9.0,0.0,5.0,5.0,16.0,26.0
48,Davis Bertans,PF,27.0,WAS,44.0,4.0,1291.0,213.0,488.0,0.436,156.0,368.0,0.424,57.0,120.0,0.475,0.596,78.0,90.0,0.867,31.0,172.0,203.0,79.0,32.0,29.0,42.0,108.0,660.0
