,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
74,Johnny McCarthy,SG,25.0,STL,75.0,0.0,31.8,3.2,9.7,0.329,0.0,0.0,0.0,3.2,9.7,0.329,0.329,2.0,3.0,0.659,0.0,0.0,4.0,4.4,0.0,0.0,0.0,3.1,8.4
75,Dick McGuire*,PG,34.0,DET,68.0,0.0,21.6,2.6,5.9,0.445,0.0,0.0,0.0,2.6,5.9,0.445,0.445,1.8,3.0,0.617,0.0,0.0,3.9,5.3,0.0,0.0,0.0,1.6,7.1
76,Jack McMahon,PG,31.0,STL,25.0,0.0,13.4,1.3,3.7,0.355,0.0,0.0,0.0,1.3,3.7,0.355,0.355,0.6,1.2,0.552,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.7,3.3
77,Shellie McMillon,SF,23.0,DET,75.0,0.0,18.9,3.6,8.4,0.426,0.0,0.0,0.0,3.6,8.4,0.426,0.426,1.8,2.7,0.663,0.0,0.0,5.7,0.7,0.0,0.0,0.0,2.6,8.9
78,Willie Naulls,SF,25.0,NYK,65.0,0.0,34.6,8.5,19.8,0.428,0.0,0.0,0.0,8.5,19.8,0.428,0.428,4.4,5.3,0.836,0.0,0.0,14.2,2.1,0.0,0.0,0.0,3.3,21.4
79,Chuck Noble,SG,28.0,DET,58.0,0.0,27.9,4.8,13.3,0.357,0.0,0.0,0.0,4.8,13.3,0.357,0.357,1.7,2.4,0.732,0.0,0.0,3.5,4.6,0.0,0.0,0.0,3.0,11.3
80,Togo Palazzi,SF,27.0,SYR,7.0,0.0,10.0,1.9,5.9,0.317,0.0,0.0,0.0,1.9,5.9,0.317,0.317,0.6,1.1,0.5,0.0,0.0,2.0,0.4,0.0,0.0,0.0,1.0,4.3
81,Jim Palmer,C,26.0,TOT,74.0,0.0,20.0,3.3,7.8,0.429,0.0,0.0,0.0,3.3,7.8,0.429,0.429,1.6,2.4,0.684,0.0,0.0,5.3,0.9,0.0,0.0,0.0,3.0,8.3
82,Jim Palmer,C,26.0,CIN,20.0,0.0,20.0,3.6,7.8,0.458,0.0,0.0,0.0,3.6,7.8,0.458,0.458,2.0,2.8,0.709,0.0,0.0,5.6,0.9,0.0,0.0,0.0,3.3,9.1
83,Jim Palmer,C,26.0,NYK,54.0,0.0,20.0,3.2,7.8,0.418,0.0,0.0,0.0,3.2,7.8,0.418,0.418,1.5,2.2,0.672,0.0,0.0,5.1,1.0,0.0,0.0,0.0,2.9,8.0
84,Med Park,SG,26.0,CIN,74.0,0.0,25.0,3.1,7.9,0.388,0.0,0.0,0.0,3.1,7.9,0.388,0.388,2.6,3.5,0.727,0.0,0.0,4.1,2.9,0.0,0.0,0.0,2.4,8.7
85,Bob Pettit*,PF,27.0,STL,72.0,0.0,40.2,9.3,21.2,0.438,0.0,0.0,0.0,9.3,21.2,0.438,0.438,7.6,10.0,0.753,0.0,0.0,17.0,3.6,0.0,0.0,0.0,2.8,26.1
86,Dave Piontek,SF,25.0,TOT,77.0,0.0,23.8,3.8,9.5,0.401,0.0,0.0,0.0,3.8,9.5,0.401,0.401,1.7,2.6,0.639,0.0,0.0,6.0,1.5,0.0,0.0,0.0,2.7,9.3
87,Dave Piontek,F-C,25.0,CIN,52.0,0.0,21.4,4.2,10.2,0.409,0.0,0.0,0.0,4.2,10.2,0.409,0.409,1.6,2.3,0.689,0.0,0.0,6.6,1.6,0.0,0.0,0.0,2.8,10.0
