,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
50,Mack Calvin,PG,32.0,UTA,48.0,772.0,14.5,0.549,0.048,0.515,2.0,10.4,6.4,24.0,1.7,0.0,17.0,18.7,0.0,1.2,0.2,1.4,0.085,-0.4,-1.3,-1.7,0.1
52,Austin Carr,SG,31.0,CLE,77.0,1595.0,14.3,0.497,0.007,0.205,5.1,5.8,5.5,13.2,1.1,0.1,10.6,24.6,0.0,1.3,0.6,2.0,0.059,0.1,-1.8,-1.7,0.1
53,Kenny Carr,PF,24.0,TOT,79.0,1838.0,15.9,0.526,0.005,0.342,11.0,23.3,16.9,5.6,1.6,1.5,14.8,21.7,0.0,1.4,2.3,3.8,0.099,-0.6,-0.6,-1.2,0.3
54,Kenny Carr,PF,24.0,LAL,5.0,57.0,5.2,0.474,0.0,0.125,10.5,21.1,16.3,2.0,1.6,0.9,34.8,18.2,0.0,-0.2,0.1,-0.1,-0.067,-4.5,-0.5,-5.0,-0.1
55,Kenny Carr,PF,24.0,CLE,74.0,1781.0,16.3,0.527,0.005,0.347,11.0,23.4,16.9,5.7,1.6,1.5,14.3,21.8,0.0,1.6,2.3,3.9,0.104,-0.5,-0.6,-1.1,0.4
56,M.L. Carr,SF,29.0,BOS,82.0,1994.0,14.6,0.526,0.054,0.316,6.0,12.3,9.2,10.7,2.8,1.0,14.1,20.2,0.0,1.9,3.2,5.2,0.125,-0.2,1.5,1.3,1.7
57,Bob Carrington,SG,26.0,SDC,10.0,134.0,5.9,0.444,0.054,0.216,4.7,5.8,5.2,2.9,1.4,0.4,11.0,13.6,0.0,0.0,0.0,0.0,0.001,-4.0,-0.7,-4.6,-0.1
58,Ron Carter,SG,23.0,IND,13.0,117.0,4.2,0.399,0.0,0.189,4.3,12.8,8.4,9.8,0.8,1.4,20.0,16.6,0.0,-0.2,0.1,-0.1,-0.058,-5.0,-0.8,-5.8,-0.2
59,Bill Cartwright,C,22.0,NYK,82.0,3150.0,17.9,0.608,0.0,0.466,6.6,18.6,12.6,7.0,0.7,1.7,13.2,20.6,0.0,7.7,2.1,9.7,0.148,1.7,-1.2,0.6,2.1
60,Harvey Catchings,C,28.0,MIL,72.0,1366.0,10.9,0.429,0.004,0.254,13.4,19.0,16.3,7.0,0.8,6.5,20.0,9.9,0.0,0.2,2.4,2.6,0.09,-2.4,2.6,0.1,0.7
