,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
67,Mitchell Butler,SG,28.0,CLE,31.0,1.0,418.0,8.9,18.5,0.482,1.5,3.9,0.379,7.4,14.6,0.509,3.1,4.3,0.719,1.7,4.1,5.8,2.9,2.0,0.5,3.9,5.4,22.3,0.0,96.0,104.0
68,Jason Caffey,PF,25.0,GSW,35.0,32.0,876.0,7.6,17.1,0.444,0.0,0.1,0.0,7.6,17.0,0.446,3.8,6.0,0.633,4.9,7.8,12.6,1.1,1.5,0.6,4.6,7.0,19.0,0.0,90.0,101.0
69,Marcus Camby,C,24.0,NYK,46.0,0.0,945.0,8.0,15.3,0.521,0.0,0.0,0.0,8.0,15.3,0.521,3.3,6.0,0.553,6.0,8.8,14.8,0.7,1.7,4.3,2.3,7.7,19.2,0.0,108.0,93.0
70,Elden Campbell,C,30.0,TOT,49.0,33.0,1459.0,8.1,17.0,0.477,0.0,0.0,0.0,8.1,16.9,0.478,6.3,9.8,0.639,4.6,9.9,14.5,2.5,1.4,2.7,2.9,5.8,22.5,0.0,106.0,100.0
71,Elden Campbell,C,30.0,LAL,17.0,1.0,325.0,7.1,16.3,0.436,0.0,0.0,0.0,7.1,16.3,0.436,6.1,10.0,0.613,6.1,9.3,15.5,1.3,0.2,2.6,3.5,8.2,20.3,0.0,100.0,104.0
72,Elden Campbell,C,30.0,CHH,32.0,32.0,1134.0,8.4,17.2,0.489,0.0,0.0,0.0,8.4,17.1,0.49,6.3,9.8,0.647,4.2,10.1,14.2,2.9,1.8,2.7,2.7,5.1,23.1,0.0,108.0,99.0
73,Antoine Carr,PF,37.0,HOU,18.0,0.0,152.0,7.5,18.5,0.404,0.0,0.4,0.0,7.5,18.1,0.412,1.8,2.5,0.714,3.2,7.8,11.0,3.2,0.4,3.6,3.2,11.0,16.7,0.0,89.0,103.0
75,Chris Carr,SG,24.0,TOT,39.0,4.0,445.0,9.0,24.2,0.371,3.3,8.9,0.373,5.7,15.3,0.369,3.2,4.7,0.675,2.7,5.7,8.4,2.7,0.9,0.2,3.3,5.3,24.4,0.0,95.0,107.0
76,Chris Carr,SG,24.0,MIN,11.0,2.0,81.0,5.9,16.9,0.346,2.0,5.9,0.333,3.9,11.1,0.353,1.3,2.6,0.5,0.0,7.8,7.8,4.6,0.7,0.7,2.6,5.9,15.0,0.0,85.0,103.0
77,Chris Carr,SG,24.0,NJN,28.0,2.0,364.0,9.7,25.8,0.374,3.6,9.5,0.379,6.1,16.3,0.372,3.6,5.2,0.694,3.3,5.2,8.5,2.3,1.0,0.1,3.5,5.2,26.5,0.0,96.0,108.0
78,Cory Carr,SG,23.0,CHI,42.0,7.0,624.0,6.2,18.9,0.329,0.4,2.6,0.167,5.8,16.2,0.355,2.1,2.8,0.75,0.7,3.6,4.3,5.8,1.8,0.6,4.0,5.8,14.9,0.0,75.0,105.0
79,Vince Carter,SF,22.0,TOR,50.0,49.0,1760.0,10.6,23.5,0.45,0.6,2.0,0.288,10.0,21.5,0.466,6.3,8.2,0.761,2.9,5.8,8.7,4.6,1.7,2.4,3.4,4.3,28.1,0.0,107.0,104.0
80,Sam Cassell,PG,29.0,TOT,8.0,3.0,199.0,10.5,25.1,0.419,0.5,2.7,0.2,10.0,22.4,0.446,12.7,13.5,0.94,1.4,2.7,4.1,9.7,2.4,0.0,5.4,5.9,34.3,0.0,111.0,106.0
81,Sam Cassell,PG,29.0,NJN,4.0,3.0,100.0,11.0,25.7,0.429,0.5,3.7,0.143,10.5,22.0,0.476,15.2,16.3,0.935,0.5,2.6,3.1,10.0,1.6,0.0,6.3,6.8,37.8,0.0,112.0,108.0
82,Sam Cassell,PG,29.0,MIL,4.0,0.0,99.0,10.0,24.5,0.409,0.6,1.7,0.333,9.5,22.8,0.415,10.0,10.6,0.947,2.2,2.8,5.0,9.5,3.3,0.0,4.5,5.0,30.6,0.0,110.0,104.0
83,Kelvin Cato,C,24.0,POR,43.0,0.0,545.0,5.7,12.7,0.45,0.1,0.1,1.0,5.6,12.6,0.445,3.4,6.6,0.507,4.8,10.0,14.8,1.9,2.3,5.5,2.7,9.9,14.9,0.0,99.0,90.0
84,Duane Causwell,C,30.0,MIA,19.0,1.0,137.0,8.3,14.5,0.571,0.0,0.0,0.0,8.3,14.5,0.571,1.7,5.0,0.333,5.8,8.7,14.5,0.8,0.0,4.5,7.4,13.2,18.2,0.0,81.0,98.0
85,Cedric Ceballos,SF,29.0,DAL,13.0,5.0,352.0,9.0,21.4,0.421,1.7,4.3,0.393,7.4,17.2,0.429,5.2,7.5,0.694,3.5,9.5,13.0,1.8,1.1,0.8,4.3,3.5,25.0,0.0,97.0,104.0
86,Rex Chapman,SG,31.0,PHO,38.0,35.0,1183.0,7.4,20.7,0.359,2.4,6.8,0.351,5.0,13.9,0.364,3.4,4.1,0.835,0.5,4.1,4.7,4.9,1.5,0.4,2.4,2.1,20.7,0.0,96.0,106.0
87,Calbert Cheaney,SG,27.0,WAS,50.0,18.0,1266.0,7.3,17.5,0.414,0.3,1.6,0.216,6.9,16.0,0.434,1.4,2.8,0.493,1.4,4.6,6.0,3.1,1.6,0.7,1.8,6.2,16.3,0.0,91.0,105.0
88,Pete Chilcutt,PF,30.0,VAN,46.0,0.0,697.0,4.9,13.3,0.366,2.0,5.3,0.382,2.9,8.0,0.356,1.1,1.3,0.824,2.2,6.8,9.0,2.3,1.7,0.9,2.2,4.0,12.8,0.0,95.0,108.0
89,Chris Childs,PG,31.0,NYK,48.0,0.0,1297.0,4.9,11.4,0.427,1.5,4.0,0.383,3.3,7.4,0.451,2.7,3.3,0.821,0.8,4.9,5.7,8.2,1.9,0.0,3.6,6.6,14.0,0.0,103.0,100.0
90,Doug Christie,SG,28.0,TOR,50.0,50.0,1768.0,7.7,19.9,0.388,1.5,4.9,0.304,6.2,15.0,0.415,6.3,7.5,0.841,1.8,4.5,6.3,5.7,3.5,0.8,3.6,3.4,23.2,0.0,104.0,103.0
91,Keon Clark,C,23.0,DEN,28.0,0.0,409.0,4.7,10.4,0.45,0.0,0.1,0.0,4.7,10.2,0.456,2.7,4.8,0.568,4.7,7.8,12.5,1.3,1.3,4.0,2.7,6.7,12.1,0.0,97.0,107.0
92,Keith Closs,C,22.0,LAC,15.0,0.0,87.0,7.4,14.2,0.522,0.0,0.6,0.0,7.4,13.6,0.545,4.9,6.2,0.8,3.1,12.3,15.4,0.0,1.9,5.6,3.7,8.6,19.7,0.0,104.0,101.0
93,John Coker,C,27.0,WAS,14.0,0.0,98.0,7.1,16.9,0.419,0.0,0.0,0.0,7.1,16.9,0.419,2.7,3.3,0.833,3.8,8.2,12.0,0.0,0.5,1.1,1.1,9.3,16.9,0.0,100.0,104.0
