,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
601,Dean Wade,PF,23.0,CLE,12.0,0.0,5.9,0.8,1.1,0.692,0.2,0.3,0.5,0.6,0.8,0.778,0.769,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.2,0.3,0.3,0.7,1.7
602,Moritz Wagner,C,22.0,WAS,36.0,5.0,19.1,3.6,6.2,0.571,0.6,1.9,0.343,2.9,4.4,0.669,0.623,1.8,2.2,0.808,1.3,3.9,5.3,1.3,0.6,0.5,1.5,3.6,9.5
603,Dion Waiters,SG,28.0,MIA,3.0,0.0,14.0,3.3,8.7,0.385,2.7,5.7,0.471,0.7,3.0,0.222,0.538,0.0,0.3,0.0,0.0,3.7,3.7,1.0,0.0,0.7,1.0,1.7,9.3
604,Kemba Walker,PG,29.0,BOS,49.0,49.0,31.9,7.1,16.7,0.423,3.3,8.8,0.379,3.8,8.0,0.472,0.523,3.9,4.5,0.869,0.7,3.4,4.1,5.0,1.0,0.5,2.1,1.6,21.4
606,Lonnie Walker,SG,21.0,SAS,53.0,4.0,14.5,2.2,5.0,0.434,0.5,1.3,0.408,1.6,3.7,0.444,0.489,0.7,1.0,0.717,0.4,1.8,2.2,0.9,0.5,0.2,0.6,1.3,5.6
607,Tyrone Wallace,SG,25.0,ATL,14.0,0.0,11.4,1.0,3.1,0.318,0.1,1.1,0.067,0.9,2.1,0.448,0.33,0.8,1.2,0.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
608,Taurean Waller-Prince,SF,25.0,BRK,63.0,61.0,29.0,4.4,11.6,0.379,2.3,6.7,0.343,2.1,4.8,0.43,0.479,1.1,1.4,0.793,0.8,5.2,6.0,1.8,0.9,0.4,2.0,2.5,12.2
609,Derrick Walton,PG,24.0,TOT,26.0,1.0,9.5,0.7,1.5,0.462,0.4,0.9,0.417,0.3,0.6,0.533,0.59,0.3,0.3,0.778,0.1,0.5,0.6,1.0,0.3,0.0,0.2,0.8,2.0
610,Derrick Walton,PG,24.0,LAC,23.0,1.0,9.7,0.7,1.6,0.472,0.4,0.9,0.429,0.3,0.7,0.533,0.597,0.3,0.4,0.778,0.1,0.6,0.7,1.0,0.2,0.0,0.2,0.8,2.2
611,Derrick Walton,PG,24.0,DET,3.0,0.0,8.7,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.3,1.7,1.0,0.0,0.3,0.7,1.0
612,Brad Wanamaker,PG,30.0,BOS,62.0,1.0,19.3,2.2,5.1,0.427,0.5,1.5,0.367,1.6,3.6,0.451,0.479,1.7,1.8,0.929,0.3,1.7,2.0,2.5,0.8,0.2,1.1,1.9,6.6
613,T.J. Warren,SF,26.0,IND,60.0,60.0,32.5,7.5,14.2,0.53,1.1,3.0,0.374,6.4,11.2,0.572,0.57,2.5,3.1,0.809,1.0,3.0,4.0,1.5,1.2,0.5,1.2,2.8,18.6
614,P.J. Washington,PF,21.0,CHO,57.0,56.0,30.2,4.6,10.0,0.456,1.5,3.9,0.377,3.1,6.2,0.506,0.529,1.5,2.4,0.657,0.9,4.5,5.4,2.1,0.9,0.8,1.6,2.7,12.2
615,Yuta Watanabe,SG,25.0,MEM,16.0,0.0,6.2,0.8,1.8,0.414,0.2,0.5,0.375,0.6,1.3,0.429,0.466,0.2,0.5,0.375,0.4,0.7,1.1,0.3,0.3,0.1,0.1,0.6,1.9
616,Tremont Waters,PG,22.0,BOS,10.0,0.0,8.9,1.2,3.5,0.343,0.3,1.7,0.176,0.9,1.8,0.5,0.386,0.6,0.6,1.0,0.0,0.9,0.9,1.2,0.5,0.2,1.0,1.1,3.3
617,Paul Watson,SF-SG,25.0,TOT,5.0,0.0,5.0,0.0,1.6,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.2,0.4,0.5,0.0,0.8,0.8,1.0,0.2,0.2,0.0,0.2,0.2
618,Paul Watson,SG,25.0,ATL,2.0,0.0,8.5,0.0,3.5,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
619,Paul Watson,SF,25.0,TOR,3.0,0.0,2.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.5,0.0,0.7,0.7,0.7,0.0,0.3,0.0,0.0,0.3
620,Quinndary Weatherspoon,SG,23.0,SAS,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0
621,Russell Westbrook,PG,31.0,HOU,52.0,52.0,35.9,10.7,22.7,0.471,1.0,3.9,0.254,9.7,18.9,0.516,0.493,5.1,6.5,0.776,1.8,6.3,8.1,7.0,1.6,0.3,4.4,3.5,27.5
622,Coby White,SG,19.0,CHI,64.0,0.0,25.6,4.8,12.1,0.394,2.0,5.8,0.355,2.7,6.3,0.429,0.478,1.5,1.9,0.79,0.4,3.1,3.5,2.7,0.8,0.1,1.6,1.8,13.1
623,Derrick White,SG,25.0,SAS,60.0,12.0,23.9,3.5,7.6,0.459,0.9,2.6,0.359,2.5,5.0,0.512,0.521,2.5,2.9,0.86,0.5,2.6,3.1,3.3,0.6,0.9,1.2,2.2,10.3
624,Hassan Whiteside,C,30.0,POR,60.0,60.0,31.2,6.8,11.1,0.617,0.1,0.1,0.571,6.8,11.0,0.618,0.62,2.6,3.7,0.683,4.0,10.3,14.3,1.2,0.4,3.1,1.9,3.0,16.3
