,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
79,Andy Phillip*,PG,33.0,FTW,70.0,0.0,2078.0,2.6,7.0,0.365,0.0,0.0,0.0,2.6,7.0,0.365,1.9,3.4,0.563,0.0,0.0,4.5,7.1,0.0,0.0,0.0,2.7,7.1
80,Richie Regan,PG,25.0,ROC,72.0,0.0,1746.0,4.9,14.0,0.352,0.0,0.0,0.0,4.9,14.0,0.352,1.8,2.7,0.639,0.0,0.0,3.6,4.6,0.0,0.0,0.0,3.7,11.6
81,Dick Ricketts,PF,22.0,TOT,68.0,0.0,1943.0,4.4,13.9,0.313,0.0,0.0,0.0,4.4,13.9,0.313,2.6,3.6,0.708,0.0,0.0,9.1,3.8,0.0,0.0,0.0,5.3,11.3
82,Dick Ricketts,PF,22.0,STL,29.0,0.0,777.0,4.4,13.9,0.312,0.0,0.0,0.0,4.4,13.9,0.312,2.5,3.6,0.705,0.0,0.0,9.1,3.8,0.0,0.0,0.0,5.3,11.3
83,Dick Ricketts,PF,22.0,ROC,39.0,0.0,1166.0,4.4,13.9,0.313,0.0,0.0,0.0,4.4,13.9,0.313,2.6,3.6,0.709,0.0,0.0,9.1,3.8,0.0,0.0,0.0,5.3,11.3
84,Arnie Risen*,C,31.0,BOS,68.0,0.0,1597.0,4.3,11.1,0.383,0.0,0.0,0.0,4.3,11.1,0.383,3.8,5.4,0.708,0.0,0.0,12.5,2.0,0.0,0.0,0.0,6.8,12.4
85,Red Rocha,C,32.0,SYR,72.0,0.0,1883.0,4.8,13.2,0.361,0.0,0.0,0.0,4.8,13.2,0.361,4.2,5.4,0.783,0.0,0.0,8.0,2.5,0.0,0.0,0.0,4.7,13.8
86,Bob Santini,F,20.0,NYK,4.0,0.0,23.0,7.8,15.7,0.5,0.0,0.0,0.0,7.8,15.7,0.5,1.6,3.1,0.5,0.0,0.0,4.7,1.6,0.0,0.0,0.0,6.3,17.2
87,Bob Schafer,SG,22.0,TOT,54.0,0.0,578.0,5.0,16.8,0.3,0.0,0.0,0.0,5.0,16.8,0.3,3.9,5.0,0.765,0.0,0.0,4.4,3.3,0.0,0.0,0.0,4.7,14.0
88,Bob Schafer,SG,22.0,PHW,12.0,0.0,82.0,5.3,15.4,0.343,0.0,0.0,0.0,5.3,15.4,0.343,3.1,5.3,0.583,0.0,0.0,5.7,4.0,0.0,0.0,0.0,6.1,13.6
89,Bob Schafer,SG,22.0,STL,42.0,0.0,496.0,5.0,17.1,0.294,0.0,0.0,0.0,5.0,17.1,0.294,4.0,5.0,0.797,0.0,0.0,4.2,3.2,0.0,0.0,0.0,4.4,14.0
90,Dolph Schayes*,PF,27.0,SYR,72.0,0.0,2517.0,6.7,17.2,0.387,0.0,0.0,0.0,6.7,17.2,0.387,7.8,9.0,0.858,0.0,0.0,12.7,2.9,0.0,0.0,0.0,3.6,21.1
91,Dick Schnittker,SF,27.0,MNL,72.0,0.0,1930.0,4.7,12.1,0.393,0.0,0.0,0.0,4.7,12.1,0.393,5.7,6.6,0.856,0.0,0.0,5.5,2.6,0.0,0.0,0.0,4.7,15.1
92,Kenny Sears,PF,22.0,NYK,70.0,0.0,2069.0,5.6,12.7,0.438,0.0,0.0,0.0,5.6,12.7,0.438,4.5,5.6,0.796,0.0,0.0,10.7,2.0,0.0,0.0,0.0,3.5,15.6
93,Frank Selvy,SG,23.0,STL,17.0,0.0,444.0,5.4,14.8,0.366,0.0,0.0,0.0,5.4,14.8,0.366,4.3,5.8,0.746,0.0,0.0,4.4,2.8,0.0,0.0,0.0,3.1,15.2
94,Paul Seymour,SG,28.0,SYR,57.0,0.0,1826.0,4.5,13.2,0.339,0.0,0.0,0.0,4.5,13.2,0.339,3.7,4.6,0.807,0.0,0.0,3.0,5.4,0.0,0.0,0.0,2.6,12.7
95,Chuck Share,C,28.0,STL,72.0,0.0,1975.0,5.7,13.4,0.43,0.0,0.0,0.0,5.7,13.4,0.43,6.3,9.1,0.695,0.0,0.0,14.1,2.4,0.0,0.0,0.0,5.8,17.8
96,Bill Sharman*,SG,29.0,BOS,72.0,0.0,2698.0,7.2,16.4,0.438,0.0,0.0,0.0,7.2,16.4,0.438,4.8,5.5,0.867,0.0,0.0,3.5,4.5,0.0,0.0,0.0,2.6,19.1
97,Gene Shue,PG,24.0,NYK,72.0,0.0,1750.0,4.9,12.9,0.384,0.0,0.0,0.0,4.9,12.9,0.384,3.7,4.9,0.764,0.0,0.0,4.4,3.7,0.0,0.0,0.0,2.3,13.6
98,Connie Simmons,PF,30.0,ROC,68.0,0.0,903.0,5.7,17.1,0.336,0.0,0.0,0.0,5.7,17.1,0.336,3.1,5.1,0.605,0.0,0.0,9.4,3.3,0.0,0.0,0.0,5.7,14.6
100,Whitey Skoog,SG,29.0,MNL,72.0,0.0,2311.0,5.3,13.3,0.398,0.0,0.0,0.0,5.3,13.3,0.398,2.4,3.0,0.803,0.0,0.0,4.5,4.0,0.0,0.0,0.0,3.6,13.0
101,Odie Spears,SF,31.0,FTW,72.0,0.0,1378.0,4.3,12.2,0.355,0.0,0.0,0.0,4.3,12.2,0.355,4.2,5.3,0.791,0.0,0.0,6.0,3.2,0.0,0.0,0.0,5.0,12.8
102,Art Spoelstra,C,23.0,ROC,72.0,0.0,1640.0,5.0,12.6,0.392,0.0,0.0,0.0,5.0,12.6,0.392,3.6,5.2,0.685,0.0,0.0,9.6,2.1,0.0,0.0,0.0,5.4,13.5
103,Jack Stephens,SG,22.0,STL,72.0,0.0,2219.0,4.0,10.4,0.386,0.0,0.0,0.0,4.0,10.4,0.386,4.0,5.8,0.692,0.0,0.0,6.1,3.4,0.0,0.0,0.0,2.3,12.1
104,Maurice Stokes*,C,22.0,ROC,67.0,0.0,2323.0,6.2,17.6,0.354,0.0,0.0,0.0,6.2,17.6,0.354,4.9,6.9,0.714,0.0,0.0,17.0,5.1,0.0,0.0,0.0,4.3,17.4
105,Jim Tucker,PF,23.0,SYR,70.0,0.0,895.0,4.1,11.7,0.348,0.0,0.0,0.0,4.1,11.7,0.348,2.7,3.3,0.795,0.0,0.0,9.3,1.5,0.0,0.0,0.0,6.7,10.8
106,Jack Twyman*,SF,21.0,ROC,72.0,0.0,2186.0,6.9,16.3,0.422,0.0,0.0,0.0,6.9,16.3,0.422,3.4,4.9,0.685,0.0,0.0,7.7,2.8,0.0,0.0,0.0,3.9,17.1
107,Ernie Vandeweghe,F-G,27.0,NYK,5.0,0.0,77.0,4.7,14.5,0.323,0.0,0.0,0.0,4.7,14.5,0.323,0.9,0.9,1.0,0.0,0.0,6.1,5.6,0.0,0.0,0.0,7.0,10.3
108,Bobby Wanzer*,PG,34.0,ROC,72.0,0.0,1980.0,4.5,11.8,0.376,0.0,0.0,0.0,4.5,11.8,0.376,4.7,6.5,0.719,0.0,0.0,4.9,4.1,0.0,0.0,0.0,2.7,13.6
109,Bob Williams,F,24.0,MNL,20.0,0.0,173.0,4.4,9.6,0.457,0.0,0.0,0.0,4.4,9.6,0.457,5.0,9.4,0.533,0.0,0.0,11.2,1.5,0.0,0.0,0.0,7.5,13.7
110,George Yardley*,SF,27.0,FTW,71.0,0.0,2353.0,6.6,16.3,0.407,0.0,0.0,0.0,6.6,16.3,0.407,5.6,7.5,0.742,0.0,0.0,10.5,2.4,0.0,0.0,0.0,3.2,18.9
111,Max Zaslofsky,SG,30.0,FTW,9.0,0.0,182.0,5.7,16.0,0.358,0.0,0.0,0.0,5.7,16.0,0.358,5.9,6.9,0.857,0.0,0.0,3.2,3.2,0.0,0.0,0.0,3.6,17.4
