b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Nov 8, 1977",/boxscores/197711080MIL.html,Denver Nuggets,111,Milwaukee Bucks,101,Box Score,,,
"Tue, Nov 8, 1977",/boxscores/197711080NYK.html,San Antonio Spurs,117,New York Knicks,123,Box Score,,,
"Tue, Nov 8, 1977",/boxscores/197711080POR.html,Kansas City Kings,104,Portland Trail Blazers,130,Box Score,,,
"Wed, Nov 9, 1977",/boxscores/197711090BOS.html,San Antonio Spurs,129,Boston Celtics,114,Box Score,,,
"Wed, Nov 9, 1977",/boxscores/197711090BUF.html,New York Knicks,113,Buffalo Braves,124,Box Score,,,
"Wed, Nov 9, 1977",/boxscores/197711090DEN.html,New Orleans Jazz,112,Denver Nuggets,115,Box Score,,,
"Wed, Nov 9, 1977",/boxscores/197711090DET.html,Houston Rockets,107,Detroit Pistons,127,Box Score,,,
"Wed, Nov 9, 1977",/boxscores/197711090GSW.html,Indiana Pacers,129,Golden State Warriors,132,Box Score,,,
"Wed, Nov 9, 1977",/boxscores/197711090PHI.html,New Jersey Nets,107,Philadelphia 76ers,130,Box Score,,,
"Thu, Nov 10, 1977",/boxscores/197711100HOU.html,Atlanta Hawks,132,Houston Rockets,101,Box Score,,,
"Thu, Nov 10, 1977",/boxscores/197711100PHO.html,New Orleans Jazz,111,Phoenix Suns,127,Box Score,,,
"Thu, Nov 10, 1977",/boxscores/197711100WSB.html,Milwaukee Bucks,106,Washington Bullets,103,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110ATL.html,Portland Trail Blazers,132,Atlanta Hawks,92,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110BOS.html,Buffalo Braves,103,Boston Celtics,109,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110DET.html,San Antonio Spurs,107,Detroit Pistons,104,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110GSW.html,Kansas City Kings,106,Golden State Warriors,105,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110LAL.html,New Orleans Jazz,107,Los Angeles Lakers,123,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110MIL.html,Cleveland Cavaliers,88,Milwaukee Bucks,82,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110NJN.html,Chicago Bulls,89,New Jersey Nets,91,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110PHI.html,New York Knicks,119,Philadelphia 76ers,127,Box Score,,,
"Fri, Nov 11, 1977",/boxscores/197711110SEA.html,Indiana Pacers,111,Seattle SuperSonics,117,Box Score,,,
"Sat, Nov 12, 1977",/boxscores/197711120BUF.html,Chicago Bulls,103,Buffalo Braves,106,Box Score,,,
"Sat, Nov 12, 1977",/boxscores/197711120DEN.html,Kansas City Kings,114,Denver Nuggets,119,Box Score,,,
"Sat, Nov 12, 1977",/boxscores/197711120HOU.html,Portland Trail Blazers,102,Houston Rockets,104,Box Score,,,
"Sat, Nov 12, 1977",/boxscores/197711120NYK.html,New Jersey Nets,90,New York Knicks,101,Box Score,,,
"Sat, Nov 12, 1977",/boxscores/197711120SAS.html,Atlanta Hawks,99,San Antonio Spurs,116,Box Score,,,
"Sat, Nov 12, 1977",/boxscores/197711120WSB.html,Philadelphia 76ers,98,Washington Bullets,116,Box Score,,,
"Sun, Nov 13, 1977",/boxscores/197711130DET.html,Washington Bullets,102,Detroit Pistons,104,Box Score,,,
"Sun, Nov 13, 1977",/boxscores/197711130LAL.html,Golden State Warriors,95,Los Angeles Lakers,97,Box Score,,,
"Sun, Nov 13, 1977",/boxscores/197711130MIL.html,Boston Celtics,127,Milwaukee Bucks,119,Box Score,OT,,
"Sun, Nov 13, 1977",/boxscores/197711130PHO.html,Indiana Pacers,107,Phoenix Suns,116,Box Score,,,
"Sun, Nov 13, 1977",/boxscores/197711130SEA.html,New Orleans Jazz,83,Seattle SuperSonics,117,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150ATL.html,Philadelphia 76ers,114,Atlanta Hawks,93,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150BUF.html,Indiana Pacers,100,Buffalo Braves,94,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150DEN.html,Detroit Pistons,113,Denver Nuggets,123,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150LAL.html,Cleveland Cavaliers,102,Los Angeles Lakers,95,Box Score,OT,,
"Tue, Nov 15, 1977",/boxscores/197711150MIL.html,Portland Trail Blazers,109,Milwaukee Bucks,106,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150NYK.html,New Orleans Jazz,105,New York Knicks,108,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150SAS.html,Kansas City Kings,107,San Antonio Spurs,113,Box Score,,,
"Tue, Nov 15, 1977",/boxscores/197711150WSB.html,Seattle SuperSonics,109,Washington Bullets,111,Box Score,,,
"Wed, Nov 16, 1977",/boxscores/197711160BOS.html,Atlanta Hawks,105,Boston Celtics,131,Box Score,,,
