b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Nov 5, 2013",/boxscores/201311050POR.html,10:00p,Houston Rockets,116,Portland Trail Blazers,101,Box Score,,"17,491",
"Tue, Nov 5, 2013",/boxscores/201311050SAC.html,10:00p,Atlanta Hawks,105,Sacramento Kings,100,Box Score,,"13,506",
"Wed, Nov 6, 2013",/boxscores/201311060CHA.html,7:00p,Toronto Raptors,90,Charlotte Bobcats,92,Box Score,,"11,118",
"Wed, Nov 6, 2013",/boxscores/201311060IND.html,7:00p,Chicago Bulls,80,Indiana Pacers,97,Box Score,,"18,165",
"Wed, Nov 6, 2013",/boxscores/201311060ORL.html,7:00p,Los Angeles Clippers,90,Orlando Magic,98,Box Score,,"15,807",
"Wed, Nov 6, 2013",/boxscores/201311060PHI.html,7:00p,Washington Wizards,116,Philadelphia 76ers,102,Box Score,,"10,117",
"Wed, Nov 6, 2013",/boxscores/201311060BOS.html,7:30p,Utah Jazz,87,Boston Celtics,97,Box Score,,"17,130",
"Wed, Nov 6, 2013",/boxscores/201311060MEM.html,8:00p,New Orleans Pelicans,99,Memphis Grizzlies,84,Box Score,,"15,209",
"Wed, Nov 6, 2013",/boxscores/201311060MIL.html,8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,109,Box Score,,"14,340",
"Wed, Nov 6, 2013",/boxscores/201311060MIN.html,8:00p,Golden State Warriors,106,Minnesota Timberwolves,93,Box Score,,"15,559",
"Wed, Nov 6, 2013",/boxscores/201311060SAS.html,8:30p,Phoenix Suns,96,San Antonio Spurs,99,Box Score,,"17,870",
"Wed, Nov 6, 2013",/boxscores/201311060OKC.html,9:30p,Dallas Mavericks,93,Oklahoma City Thunder,107,Box Score,,"18,203",
"Thu, Nov 7, 2013",/boxscores/201311070MIA.html,7:00p,Los Angeles Clippers,97,Miami Heat,102,Box Score,,"19,600",
"Thu, Nov 7, 2013",/boxscores/201311070DEN.html,9:00p,Atlanta Hawks,107,Denver Nuggets,109,Box Score,,"15,404",
"Thu, Nov 7, 2013",/boxscores/201311070HOU.html,9:30p,Los Angeles Lakers,99,Houston Rockets,98,Box Score,,"18,133",
"Fri, Nov 8, 2013",/boxscores/201311080CHA.html,7:00p,New York Knicks,101,Charlotte Bobcats,91,Box Score,,"16,465",
"Fri, Nov 8, 2013",/boxscores/201311080IND.html,7:00p,Toronto Raptors,84,Indiana Pacers,91,Box Score,,"13,316",
"Fri, Nov 8, 2013",/boxscores/201311080ORL.html,7:00p,Boston Celtics,91,Orlando Magic,89,Box Score,,"17,555",
"Fri, Nov 8, 2013",/boxscores/201311080PHI.html,7:00p,Cleveland Cavaliers,79,Philadelphia 76ers,94,Box Score,,"15,219",
"Fri, Nov 8, 2013",/boxscores/201311080WAS.html,7:00p,Brooklyn Nets,108,Washington Wizards,112,Box Score,OT,"17,215",
"Fri, Nov 8, 2013",/boxscores/201311080DET.html,7:30p,Oklahoma City Thunder,119,Detroit Pistons,110,Box Score,,"15,624",
"Fri, Nov 8, 2013",/boxscores/201311080CHI.html,8:00p,Utah Jazz,73,Chicago Bulls,97,Box Score,,"21,946",
"Fri, Nov 8, 2013",/boxscores/201311080MIN.html,8:00p,Dallas Mavericks,108,Minnesota Timberwolves,116,Box Score,,"13,677",
"Fri, Nov 8, 2013",/boxscores/201311080NOP.html,8:00p,Los Angeles Lakers,85,New Orleans Pelicans,96,Box Score,,"18,209",
"Fri, Nov 8, 2013",/boxscores/201311080SAS.html,8:30p,Golden State Warriors,74,San Antonio Spurs,76,Box Score,,"18,581",
"Fri, Nov 8, 2013",/boxscores/201311080PHO.html,9:00p,Denver Nuggets,103,Phoenix Suns,114,Box Score,,"15,145",
"Fri, Nov 8, 2013",/boxscores/201311080POR.html,10:00p,Sacramento Kings,91,Portland Trail Blazers,104,Box Score,,"17,627",
"Sat, Nov 9, 2013",/boxscores/201311090TOR.html,7:00p,Utah Jazz,91,Toronto Raptors,115,Box Score,,"17,211",
"Sat, Nov 9, 2013",/boxscores/201311090ATL.html,7:30p,Orlando Magic,94,Atlanta Hawks,104,Box Score,,"15,189",
"Sat, Nov 9, 2013",/boxscores/201311090BRK.html,7:30p,Indiana Pacers,96,Brooklyn Nets,91,Box Score,,"17,732",
"Sat, Nov 9, 2013",/boxscores/201311090CLE.html,7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,Box Score,2OT,"20,562",
"Sat, Nov 9, 2013",/boxscores/201311090MIA.html,7:30p,Boston Celtics,111,Miami Heat,110,Box Score,,"19,710",
"Sat, Nov 9, 2013",/boxscores/201311090HOU.html,8:00p,Los Angeles Clippers,107,Houston Rockets,94,Box Score,,"18,108",
"Sat, Nov 9, 2013",/boxscores/201311090MEM.html,8:00p,Golden State Warriors,90,Memphis Grizzlies,108,Box Score,,"16,989",
"Sat, Nov 9, 2013",/boxscores/201311090MIL.html,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,Box Score,,"16,448",
"Sat, Nov 9, 2013",/boxscores/201311090SAC.html,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,Box Score,,"15,482",
"Sun, Nov 10, 2013",/boxscores/201311100OKC.html,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,Box Score,OT,"18,203",
"Sun, Nov 10, 2013",/boxscores/201311100PHO.html,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,Box Score,,"13,154",
"Sun, Nov 10, 2013",/boxscores/201311100LAL.html,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,Box Score,,"18,997",
"Sun, Nov 10, 2013",/boxscores/201311100NYK.html,12:00a,San Antonio Spurs,120,New York Knicks,89,Box Score,,"19,812",
"Mon, Nov 11, 2013",/boxscores/201311110CHA.html,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,Box Score,,"13,996",
"Mon, Nov 11, 2013",/boxscores/201311110IND.html,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,Box Score,,"13,130",
"Mon, Nov 11, 2013",/boxscores/201311110PHI.html,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,Box Score,,"12,424",
"Mon, Nov 11, 2013",/boxscores/201311110BOS.html,7:30p,Orlando Magic,105,Boston Celtics,120,Box Score,,"18,624",
"Mon, Nov 11, 2013",/boxscores/201311110CHI.html,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,Box Score,,"21,778",
"Mon, Nov 11, 2013",/boxscores/201311110HOU.html,8:00p,Toronto Raptors,104,Houston Rockets,110,Box Score,2OT,"18,134",
"Mon, Nov 11, 2013",/boxscores/201311110UTA.html,9:00p,Denver Nuggets,100,Utah Jazz,81,Box Score,,"16,866",
"Mon, Nov 11, 2013",/boxscores/201311110POR.html,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,Box Score,,"18,834",
"Mon, Nov 11, 2013",/boxscores/201311110LAC.html,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,Box Score,,"19,060",
"Tue, Nov 12, 2013",/boxscores/201311120MIA.html,7:30p,Milwaukee Bucks,95,Miami Heat,118,Box Score,,"19,600",
"Tue, Nov 12, 2013",/boxscores/201311120DAL.html,8:30p,Washington Wizards,95,Dallas Mavericks,105,Box Score,,"19,627",
"Tue, Nov 12, 2013",/boxscores/201311120GSW.html,10:30p,Detroit Pistons,95,Golden State Warriors,113,Box Score,,"19,596",
"Tue, Nov 12, 2013",/boxscores/201311120LAL.html,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,Box Score,,"18,426",
"Wed, Nov 13, 2013",/boxscores/201311130ORL.html,7:00p,Milwaukee Bucks,91,Orlando Magic,94,Box Score,,"13,588",
"Wed, Nov 13, 2013",/boxscores/201311130PHI.html,7:00p,Houston Rockets,117,Philadelphia 76ers,123,Box Score,OT,"11,671",
"Wed, Nov 13, 2013",/boxscores/201311130BOS.html,7:30p,Charlotte Bobcats,89,Boston Celtics,83,Box Score,,"17,032",
"Wed, Nov 13, 2013",/boxscores/201311130ATL.html,8:00p,New York Knicks,95,Atlanta Hawks,91,Box Score,,"15,057",
"Wed, Nov 13, 2013",/boxscores/201311130MEM.html,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,Box Score,,"15,971",
"Wed, Nov 13, 2013",/boxscores/201311130MIN.html,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,Box Score,,"14,978",
"Wed, Nov 13, 2013",/boxscores/201311130SAS.html,8:30p,Washington Wizards,79,San Antonio Spurs,92,Box Score,,"18,581",
"Wed, Nov 13, 2013",/boxscores/201311130DEN.html,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,Box Score,,"17,824",
"Wed, Nov 13, 2013",/boxscores/201311130UTA.html,9:00p,New Orleans Pelicans,105,Utah Jazz,111,Box Score,,"16,717",
"Wed, Nov 13, 2013",/boxscores/201311130POR.html,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,Box Score,,"19,537",
"Wed, Nov 13, 2013",/boxscores/201311130SAC.html,10:00p,Brooklyn Nets,86,Sacramento Kings,107,Box Score,,"15,122",
"Wed, Nov 13, 2013",/boxscores/201311130LAC.html,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,Box Score,,"19,273",
"Thu, Nov 14, 2013",/boxscores/201311140NYK.html,8:00p,Houston Rockets,109,New York Knicks,106,Box Score,,"19,812",
"Thu, Nov 14, 2013",/boxscores/201311140GSW.html,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,Box Score,,"19,596",
"Fri, Nov 15, 2013",/boxscores/201311150IND.html,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,Box Score,,"16,202",
"Fri, Nov 15, 2013",/boxscores/201311150TOR.html,7:00p,Chicago Bulls,96,Toronto Raptors,80,Box Score,,"19,800",
