b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Nov 21, 1972",/boxscores/197211210DET.html,Atlanta Hawks,110,Detroit Pistons,113,Box Score,OT,,
"Tue, Nov 21, 1972",/boxscores/197211210KCO.html,Phoenix Suns,96,Kansas City-Omaha Kings,101,Box Score,,,
"Tue, Nov 21, 1972",/boxscores/197211210MIL.html,Boston Celtics,116,Milwaukee Bucks,102,Box Score,,,
"Tue, Nov 21, 1972",/boxscores/197211210NYK.html,Portland Trail Blazers,80,New York Knicks,108,Box Score,,,
"Wed, Nov 22, 1972",/boxscores/197211220BAL.html,Seattle SuperSonics,90,Baltimore Bullets,112,Box Score,,,
"Wed, Nov 22, 1972",/boxscores/197211220BOS.html,Portland Trail Blazers,107,Boston Celtics,126,Box Score,,,
"Wed, Nov 22, 1972",/boxscores/197211220HOU.html,Golden State Warriors,104,Houston Rockets,132,Box Score,,,
"Thu, Nov 23, 1972",/boxscores/197211230ATL.html,Seattle SuperSonics,97,Atlanta Hawks,110,Box Score,,,
"Thu, Nov 23, 1972",/boxscores/197211230PHO.html,Detroit Pistons,122,Phoenix Suns,128,Box Score,,,
"Fri, Nov 24, 1972",/boxscores/197211240BOS.html,New York Knicks,97,Boston Celtics,114,Box Score,,,
"Fri, Nov 24, 1972",/boxscores/197211240BUF.html,Philadelphia 76ers,96,Buffalo Braves,105,Box Score,,,"at Hershey, PA"
"Fri, Nov 24, 1972",/boxscores/197211240CHI.html,Golden State Warriors,96,Chicago Bulls,100,Box Score,,,
"Fri, Nov 24, 1972",/boxscores/197211240LAL.html,Detroit Pistons,123,Los Angeles Lakers,140,Box Score,,,
"Fri, Nov 24, 1972",/boxscores/197211240MIL.html,Kansas City-Omaha Kings,106,Milwaukee Bucks,115,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250ATL.html,Chicago Bulls,100,Atlanta Hawks,99,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250BAL.html,Milwaukee Bucks,101,Baltimore Bullets,91,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250BUF.html,Cleveland Cavaliers,103,Buffalo Braves,90,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250HOU.html,Seattle SuperSonics,109,Houston Rockets,114,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250KCO.html,Golden State Warriors,133,Kansas City-Omaha Kings,114,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250NYK.html,Boston Celtics,94,New York Knicks,97,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250PHI.html,Portland Trail Blazers,117,Philadelphia 76ers,106,Box Score,,,
"Sat, Nov 25, 1972",/boxscores/197211250PHO.html,Los Angeles Lakers,116,Phoenix Suns,109,Box Score,,,
"Sun, Nov 26, 1972",/boxscores/197211260CLE.html,Portland Trail Blazers,105,Cleveland Cavaliers,102,Box Score,,,
"Sun, Nov 26, 1972",/boxscores/197211260LAL.html,Phoenix Suns,107,Los Angeles Lakers,112,Box Score,,,
"Sun, Nov 26, 1972",/boxscores/197211260MIL.html,Atlanta Hawks,96,Milwaukee Bucks,108,Box Score,,,
"Sun, Nov 26, 1972",/boxscores/197211260SEA.html,Detroit Pistons,96,Seattle SuperSonics,103,Box Score,,,
"Tue, Nov 28, 1972",/boxscores/197211280BAL.html,Houston Rockets,90,Baltimore Bullets,108,Box Score,,,"at San Antonio, TX"
"Tue, Nov 28, 1972",/boxscores/197211280BUF.html,Philadelphia 76ers,101,Buffalo Braves,94,Box Score,,,
"Tue, Nov 28, 1972",/boxscores/197211280CHI.html,Kansas City-Omaha Kings,92,Chicago Bulls,91,Box Score,,,
"Tue, Nov 28, 1972",/boxscores/197211280DET.html,Portland Trail Blazers,116,Detroit Pistons,120,Box Score,,,
"Tue, Nov 28, 1972",/boxscores/197211280GSW.html,Phoenix Suns,102,Golden State Warriors,110,Box Score,,,
"Tue, Nov 28, 1972",/boxscores/197211280NYK.html,Cleveland Cavaliers,84,New York Knicks,107,Box Score,,,
"Wed, Nov 29, 1972",/boxscores/197211290BAL.html,Houston Rockets,102,Baltimore Bullets,94,Box Score,,,"at San Antonio, TX"
"Wed, Nov 29, 1972",/boxscores/197211290BOS.html,Seattle SuperSonics,98,Boston Celtics,120,Box Score,,,
"Wed, Nov 29, 1972",/boxscores/197211290KCO.html,Portland Trail Blazers,102,Kansas City-Omaha Kings,110,Box Score,,,
"Wed, Nov 29, 1972",/boxscores/197211290MIL.html,Chicago Bulls,97,Milwaukee Bucks,105,Box Score,,,
"Wed, Nov 29, 1972",/boxscores/197211290PHI.html,New York Knicks,139,Philadelphia 76ers,91,Box Score,,,
"Wed, Nov 29, 1972",/boxscores/197211290PHO.html,Atlanta Hawks,98,Phoenix Suns,109,Box Score,,,
"Thu, Nov 30, 1972",/boxscores/197211300DET.html,Buffalo Braves,116,Detroit Pistons,127,Box Score,,,
"Fri, Dec 1, 1972",/boxscores/197212010BAL.html,Houston Rockets,96,Baltimore Bullets,103,Box Score,,,
"Fri, Dec 1, 1972",/boxscores/197212010BUF.html,Seattle SuperSonics,90,Buffalo Braves,93,Box Score,,,
"Fri, Dec 1, 1972",/boxscores/197212010CLE.html,Detroit Pistons,114,Cleveland Cavaliers,113,Box Score,,,
"Fri, Dec 1, 1972",/boxscores/197212010KCO.html,Chicago Bulls,106,Kansas City-Omaha Kings,97,Box Score,OT,,
"Fri, Dec 1, 1972",/boxscores/197212010LAL.html,Atlanta Hawks,114,Los Angeles Lakers,109,Box Score,OT,,
"Fri, Dec 1, 1972",/boxscores/197212010MIL.html,New York Knicks,74,Milwaukee Bucks,100,Box Score,,,
"Fri, Dec 1, 1972",/boxscores/197212010PHI.html,Boston Celtics,105,Philadelphia 76ers,99,Box Score,,,
"Fri, Dec 1, 1972",/boxscores/197212010PHO.html,Golden State Warriors,106,Phoenix Suns,115,Box Score,,,
"Sat, Dec 2, 1972",/boxscores/197212020BOS.html,Philadelphia 76ers,120,Boston Celtics,131,Box Score,,,
"Sat, Dec 2, 1972",/boxscores/197212020CHI.html,Seattle SuperSonics,80,Chicago Bulls,89,Box Score,,,
"Sat, Dec 2, 1972",/boxscores/197212020GSW.html,Los Angeles Lakers,112,Golden State Warriors,103,Box Score,,,
"Sat, Dec 2, 1972",/boxscores/197212020HOU.html,Kansas City-Omaha Kings,114,Houston Rockets,109,Box Score,,,
"Sat, Dec 2, 1972",/boxscores/197212020NYK.html,Buffalo Braves,94,New York Knicks,119,Box Score,,,
"Sat, Dec 2, 1972",/boxscores/197212020POR.html,Atlanta Hawks,106,Portland Trail Blazers,103,Box Score,,,
"Sun, Dec 3, 1972",/boxscores/197212030CLE.html,Seattle SuperSonics,103,Cleveland Cavaliers,105,Box Score,OT,,
"Sun, Dec 3, 1972",/boxscores/197212030PHO.html,Milwaukee Bucks,119,Phoenix Suns,101,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050ATL.html,Portland Trail Blazers,121,Atlanta Hawks,122,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050BUF.html,Phoenix Suns,97,Buffalo Braves,108,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050CHI.html,Detroit Pistons,108,Chicago Bulls,130,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050CLE.html,Baltimore Bullets,103,Cleveland Cavaliers,100,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050GSW.html,Houston Rockets,101,Golden State Warriors,108,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050LAL.html,Milwaukee Bucks,94,Los Angeles Lakers,116,Box Score,,,
"Tue, Dec 5, 1972",/boxscores/197212050NYK.html,Kansas City-Omaha Kings,103,New York Knicks,125,Box Score,,,
"Wed, Dec 6, 1972",/boxscores/197212060BAL.html,Portland Trail Blazers,102,Baltimore Bullets,115,Box Score,,,
"Wed, Dec 6, 1972",/boxscores/197212060DET.html,Phoenix Suns,105,Detroit Pistons,114,Box Score,,,
"Wed, Dec 6, 1972",/boxscores/197212060PHI.html,Kansas City-Omaha Kings,117,Philadelphia 76ers,122,Box Score,,,
