,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
67,Mark Bryant,PF,37.0,TOT,16.0,100.0,0.4,0.313,0.0,0.211,9.2,14.3,11.7,5.9,0.5,0.8,25.2,12.5,0.0,-0.2,0.1,-0.1,-0.068,-8.7,-1.5,-10.2,-0.2
68,Mark Bryant,PF,37.0,PHI,11.0,77.0,1.5,0.336,0.0,0.118,10.5,14.0,12.2,1.9,0.7,1.0,21.9,13.3,0.0,-0.1,0.1,-0.1,-0.057,-7.5,-1.8,-9.4,-0.1
69,Mark Bryant,PF,37.0,DEN,3.0,14.0,-5.0,0.266,0.0,2.0,7.9,8.7,8.3,21.0,0.0,0.0,51.5,12.3,0.0,-0.1,0.0,0.0,-0.161,-13.9,-1.3,-15.1,0.0
70,Mark Bryant,PF,37.0,BOS,2.0,9.0,-1.1,0.0,0.0,0.0,0.0,25.9,12.6,16.3,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,-0.019,-10.6,1.0,-9.6,0.0
71,Greg Buckner,SG,26.0,PHI,75.0,1514.0,11.6,0.519,0.138,0.204,5.5,11.4,8.4,10.1,2.5,0.8,12.5,14.7,0.0,1.5,1.7,3.1,0.1,-1.7,0.9,-0.8,0.5
72,Pat Burke,C,29.0,ORL,62.0,783.0,8.3,0.415,0.024,0.196,8.1,13.4,10.7,4.9,1.3,2.3,12.8,21.1,0.0,-1.0,0.6,-0.3,-0.021,-4.9,-1.7,-6.6,-0.9
74,Caron Butler,SF,22.0,MIA,78.0,2858.0,15.1,0.502,0.104,0.363,5.3,10.9,8.0,14.1,2.6,0.9,13.8,22.9,0.0,1.6,3.6,5.1,0.086,-0.4,1.0,0.5,1.8
75,Rasual Butler,SG,23.0,MIA,72.0,1514.0,9.5,0.437,0.299,0.182,2.1,12.3,7.1,11.4,0.8,2.2,11.1,21.6,0.0,-1.4,1.4,0.1,0.002,-1.9,-0.6,-2.5,-0.2
76,Jason Caffey,PF,29.0,MIL,51.0,894.0,10.5,0.501,0.0,0.427,8.9,14.2,11.5,6.7,1.1,1.2,16.0,18.3,0.0,0.3,0.3,0.6,0.031,-3.1,-1.8,-4.9,-0.7
77,Marcus Camby,C,28.0,DEN,29.0,616.0,17.5,0.444,0.022,0.22,13.5,26.4,19.7,14.4,1.7,5.2,9.8,19.9,0.0,0.3,1.2,1.5,0.119,-0.4,1.0,0.6,0.4
78,Elden Campbell,C,34.0,TOT,56.0,869.0,14.1,0.483,0.003,0.461,6.2,18.2,12.1,9.9,2.0,3.3,12.4,21.3,0.0,0.6,1.4,2.0,0.109,-2.6,1.4,-1.1,0.2
79,Elden Campbell,C,34.0,NOH,41.0,685.0,15.0,0.496,0.004,0.466,5.7,18.5,12.0,10.5,1.9,3.3,12.4,22.6,0.0,0.6,1.1,1.7,0.122,-2.2,1.4,-0.8,0.2
80,Elden Campbell,C,34.0,SEA,15.0,184.0,10.8,0.419,0.0,0.438,8.2,16.9,12.5,7.6,2.7,3.4,12.3,16.6,0.0,0.0,0.3,0.2,0.063,-4.1,1.5,-2.6,0.0
81,Brian Cardinal,PF,25.0,WAS,5.0,15.0,13.8,0.41,0.25,0.5,23.6,15.8,19.7,10.4,0.0,0.0,17.0,18.5,0.0,0.0,0.0,0.0,0.051,1.7,-4.5,-2.8,0.0
82,Anthony Carter,PG,27.0,MIA,49.0,912.0,9.9,0.39,0.034,0.215,1.5,9.3,5.3,37.9,2.7,0.4,24.1,17.3,0.0,-1.3,1.1,-0.2,-0.012,-3.6,-0.3,-3.9,-0.4
