,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
47,Mike D'Antoni,SG,22.0,KCO,52.0,0.0,989.0,3.9,9.7,0.402,0.0,0.0,0.0,3.9,9.7,0.402,1.2,1.7,0.702,0.9,2.5,3.4,4.5,2.7,0.5,0.0,4.1,9.0
48,Bob Dandridge,SF,26.0,MIL,71.0,0.0,2521.0,8.3,16.5,0.503,0.0,0.0,0.0,8.3,16.5,0.503,2.5,3.1,0.818,1.7,5.2,6.8,2.9,1.6,0.6,0.0,3.9,19.1
49,Charlie Davis,SG,24.0,POR,8.0,0.0,90.0,5.6,16.0,0.35,0.0,0.0,0.0,5.6,16.0,0.35,1.2,1.6,0.75,0.8,3.6,4.4,4.4,0.8,0.0,0.0,2.8,12.4
50,Dwight Davis,PF,24.0,CLE,76.0,0.0,2477.0,5.5,12.5,0.436,0.0,0.0,0.0,5.5,12.5,0.436,2.9,4.0,0.719,2.5,6.8,9.4,2.7,0.9,1.1,0.0,4.2,13.8
51,Jim Davis,C,32.0,DET,78.0,0.0,947.0,4.4,10.8,0.413,0.0,0.0,0.0,4.4,10.8,0.413,3.4,5.3,0.647,3.9,7.3,11.1,3.3,1.5,1.1,0.0,6.0,12.3
52,Mel Davis,PF,23.0,NYK,30.0,0.0,167.0,7.1,20.5,0.347,0.0,0.0,0.0,7.1,20.5,0.347,2.6,3.4,0.75,3.7,8.0,11.6,1.7,0.6,0.9,0.0,7.8,16.8
53,Mickey Davis,SF,23.0,MIL,73.0,0.0,1012.0,6.0,11.9,0.504,0.0,0.0,0.0,6.0,11.9,0.504,3.3,4.0,0.83,2.8,5.2,8.0,3.1,1.0,0.2,0.0,3.3,15.3
54,Dave DeBusschere*,PF,33.0,NYK,71.0,0.0,2699.0,7.5,16.2,0.461,0.0,0.0,0.0,7.5,16.2,0.461,2.2,2.9,0.756,1.8,8.3,10.1,3.4,0.9,0.5,0.0,3.0,17.1
55,Derrek Dickey,PF,22.0,GSW,66.0,0.0,930.0,4.5,9.0,0.494,0.0,0.0,0.0,4.5,9.0,0.494,2.0,2.6,0.773,4.8,8.4,13.1,2.1,0.7,0.6,0.0,4.3,10.9
56,Ernie DiGregorio,PG,23.0,BUF,81.0,0.0,2910.0,6.6,15.6,0.421,0.0,0.0,0.0,6.6,15.6,0.421,2.2,2.4,0.902,0.6,2.1,2.7,8.2,0.7,0.1,0.0,3.0,15.3
57,Steve Downing,C,23.0,BOS,24.0,0.0,137.0,5.5,16.8,0.328,0.0,0.0,0.0,5.5,16.8,0.328,5.8,10.0,0.579,3.7,6.6,10.2,2.9,1.3,0.0,0.0,8.7,16.8
58,Terry Driscoll,PF,26.0,MIL,64.0,0.0,697.0,4.5,9.7,0.471,0.0,0.0,0.0,4.5,9.7,0.471,1.5,2.4,0.652,3.8,6.5,10.3,2.8,1.1,0.8,0.0,6.2,10.6
59,Ken Durrett,SF,25.0,KCO,45.0,0.0,462.0,6.7,13.7,0.489,0.0,0.0,0.0,6.7,13.7,0.489,3.3,5.4,0.609,2.2,3.9,6.1,1.5,1.0,0.4,0.0,5.3,16.7
60,Joe Ellis,SF,29.0,GSW,50.0,0.0,515.0,4.3,13.3,0.321,0.0,0.0,0.0,4.3,13.3,0.321,1.3,2.2,0.581,2.6,5.9,8.5,2.6,2.3,0.6,0.0,5.3,9.8
61,Leroy Ellis,C,33.0,PHI,81.0,0.0,2831.0,4.1,9.2,0.452,0.0,0.0,0.0,4.1,9.2,0.452,1.9,2.5,0.75,3.7,7.6,11.3,2.4,1.1,1.1,0.0,2.8,10.2
63,Keith Erickson,SF,29.0,PHO,66.0,0.0,2033.0,7.0,14.6,0.477,0.0,0.0,0.0,7.0,14.6,0.477,3.1,3.9,0.801,1.7,5.7,7.3,3.6,1.1,0.4,0.0,3.4,17.1
64,Hank Finkel,C,31.0,BOS,60.0,0.0,427.0,5.1,11.0,0.462,0.0,0.0,0.0,5.1,11.0,0.462,2.4,3.6,0.651,3.5,7.9,11.4,2.3,0.3,0.6,0.0,5.2,12.5
65,Chris Ford,SG,25.0,DET,82.0,0.0,2059.0,4.6,10.4,0.444,0.0,0.0,0.0,4.6,10.4,0.444,1.0,1.3,0.74,1.9,3.4,5.3,4.9,2.6,0.2,0.0,2.8,10.2
66,Fred Foster,SF,27.0,CLE,58.0,0.0,649.0,6.2,16.0,0.389,0.0,0.0,0.0,6.2,16.0,0.389,3.0,3.6,0.844,2.4,3.6,6.0,3.4,1.1,0.3,0.0,4.4,15.4
67,Jim Fox,C,30.0,SEA,78.0,0.0,2179.0,5.3,11.1,0.478,0.0,0.0,0.0,5.3,11.1,0.478,4.0,4.8,0.823,4.0,7.8,11.8,3.8,0.9,0.3,0.0,4.1,14.6
68,Walt Frazier*,PG,28.0,NYK,80.0,0.0,3338.0,7.3,15.4,0.472,0.0,0.0,0.0,7.3,15.4,0.472,3.2,3.8,0.838,1.3,4.5,5.8,5.9,1.7,0.2,0.0,2.3,17.7
69,Rod Freeman,SF,23.0,PHI,35.0,0.0,265.0,5.3,14.0,0.379,0.0,0.0,0.0,5.3,14.0,0.379,3.8,5.6,0.683,3.0,4.3,7.3,1.9,1.6,0.1,0.0,5.7,14.4
70,Bernie Fryer,SG,24.0,POR,80.0,0.0,1674.0,4.9,10.6,0.46,0.0,0.0,0.0,4.9,10.6,0.46,2.3,2.9,0.793,1.3,2.1,3.4,6.0,2.0,0.2,0.0,4.0,12.0
71,Dick Garrett,SG,27.0,TOT,40.0,0.0,326.0,4.7,13.9,0.341,0.0,0.0,0.0,4.7,13.9,0.341,1.7,2.1,0.789,1.7,2.8,4.4,2.5,1.1,0.1,0.0,6.2,11.2
72,Dick Garrett,SG,27.0,NYK,25.0,0.0,239.0,4.8,13.7,0.352,0.0,0.0,0.0,4.8,13.7,0.352,1.5,2.0,0.769,1.5,2.4,3.9,2.1,1.1,0.2,0.0,6.2,11.1
73,Dick Garrett,SG,27.0,MIL,15.0,0.0,87.0,4.6,14.5,0.314,0.0,0.0,0.0,4.6,14.5,0.314,2.1,2.5,0.833,2.1,3.7,5.8,3.7,1.2,0.0,0.0,6.2,11.2
74,Rowland Garrett,SF,23.0,CHI,41.0,0.0,373.0,6.6,17.8,0.37,0.0,0.0,0.0,6.6,17.8,0.37,2.0,3.1,0.656,3.0,3.8,6.8,1.1,0.5,0.9,0.0,4.2,15.2
75,Jim Garvin,PF,23.0,BUF,6.0,0.0,11.0,3.3,13.1,0.25,0.0,0.0,0.0,3.3,13.1,0.25,0.0,0.0,0.0,3.3,13.1,16.4,0.0,0.0,0.0,0.0,3.3,6.5
76,John Gianelli,C,23.0,NYK,70.0,0.0,1423.0,5.3,11.0,0.479,0.0,0.0,0.0,5.3,11.0,0.479,2.3,3.1,0.76,2.8,5.9,8.7,1.9,0.6,1.1,0.0,4.0,12.9
77,Dick Gibbs,SF,25.0,SEA,71.0,0.0,1528.0,7.1,16.5,0.431,0.0,0.0,0.0,7.1,16.5,0.431,3.8,4.7,0.806,2.1,3.1,5.3,1.9,0.9,0.4,0.0,4.6,18.0
78,Herm Gilliam,PG,27.0,ATL,62.0,0.0,2003.0,6.9,15.2,0.454,0.0,0.0,0.0,6.9,15.2,0.454,1.9,2.4,0.791,1.1,3.7,4.8,6.4,2.4,0.3,0.0,3.4,15.7
79,Gail Goodrich*,SG,30.0,LAL,82.0,0.0,3061.0,9.2,20.9,0.442,0.0,0.0,0.0,9.2,20.9,0.442,6.0,6.9,0.864,1.1,1.8,2.9,5.0,1.5,0.1,0.0,2.7,24.4
80,Travis Grant,SF,24.0,LAL,3.0,0.0,6.0,6.0,24.0,0.25,0.0,0.0,0.0,6.0,24.0,0.25,6.0,18.0,0.333,0.0,6.0,6.0,0.0,0.0,0.0,0.0,6.0,18.0
81,Lamar Green,PF,26.0,PHO,72.0,0.0,1103.0,4.2,10.3,0.407,0.0,0.0,0.0,4.2,10.3,0.407,1.2,2.2,0.559,2.8,8.6,11.4,1.4,1.0,1.2,0.0,4.9,9.7
82,Matt Guokas,SG,29.0,TOT,75.0,0.0,1871.0,3.8,7.6,0.492,0.0,0.0,0.0,3.8,7.6,0.492,0.8,1.2,0.65,0.6,1.7,2.3,4.6,1.0,0.4,0.0,2.9,8.3
83,Matt Guokas,SG,29.0,KCO,9.0,0.0,315.0,4.7,9.5,0.494,0.0,0.0,0.0,4.7,9.5,0.494,0.9,1.4,0.667,0.2,2.2,2.4,4.1,0.9,0.1,0.0,2.4,10.3
84,Matt Guokas,SG,29.0,HOU,39.0,0.0,1007.0,3.3,7.3,0.458,0.0,0.0,0.0,3.3,7.3,0.458,0.8,1.0,0.75,0.6,1.5,2.1,4.8,1.0,0.5,0.0,2.6,7.4
85,Matt Guokas,SG,29.0,BUF,27.0,0.0,549.0,4.0,7.2,0.555,0.0,0.0,0.0,4.0,7.2,0.555,0.7,1.3,0.5,0.8,1.8,2.6,4.5,1.2,0.4,0.0,3.7,8.7
86,Happy Hairston,PF,31.0,LAL,77.0,0.0,2634.0,5.3,10.4,0.507,0.0,0.0,0.0,5.3,10.4,0.507,4.7,6.1,0.771,4.6,9.6,14.2,2.8,0.9,0.2,0.0,3.6,15.2
87,Phil Hankinson,SF,22.0,BOS,28.0,0.0,163.0,11.0,22.7,0.485,0.0,0.0,0.0,11.0,22.7,0.485,2.2,2.9,0.769,4.9,6.2,11.0,0.9,0.7,0.2,0.0,4.0,24.3
89,Clem Haskins,SG,30.0,PHO,81.0,0.0,1822.0,7.2,15.6,0.46,0.0,0.0,0.0,7.2,15.6,0.46,3.4,4.0,0.842,1.5,2.8,4.4,5.1,1.6,0.3,0.0,3.3,17.8
90,John Havlicek*,SF,33.0,BOS,76.0,0.0,3091.0,8.0,17.5,0.456,0.0,0.0,0.0,8.0,17.5,0.456,4.0,4.8,0.832,1.6,4.1,5.7,5.2,1.1,0.4,0.0,2.3,20.0
91,Connie Hawkins*,SF,31.0,TOT,79.0,0.0,2761.0,5.3,10.5,0.501,0.0,0.0,0.0,5.3,10.5,0.501,2.5,3.3,0.761,2.3,5.1,7.4,5.3,1.5,1.1,0.0,2.9,13.0
92,Connie Hawkins*,SF,31.0,PHO,8.0,0.0,223.0,5.8,11.9,0.486,0.0,0.0,0.0,5.8,11.9,0.486,2.9,4.4,0.667,2.3,4.7,6.9,4.5,1.3,0.5,0.0,3.2,14.5
93,Connie Hawkins*,SF,31.0,LAL,71.0,0.0,2538.0,5.2,10.4,0.502,0.0,0.0,0.0,5.2,10.4,0.502,2.5,3.2,0.772,2.3,5.1,7.4,5.4,1.5,1.1,0.0,2.9,12.9
94,Nate Hawthorne,SG,24.0,LAL,33.0,0.0,229.0,6.0,14.6,0.409,0.0,0.0,0.0,6.0,14.6,0.409,4.7,7.5,0.625,2.5,2.5,5.0,3.6,1.4,0.9,0.0,5.2,16.7
95,Elvin Hayes*,PF,28.0,CAP,81.0,0.0,3602.0,6.9,16.3,0.423,0.0,0.0,0.0,6.9,16.3,0.423,3.6,4.9,0.721,3.5,11.1,14.6,1.6,0.9,2.4,0.0,2.5,17.3
96,Spencer Haywood*,PF,24.0,SEA,75.0,0.0,3039.0,8.2,18.0,0.457,0.0,0.0,0.0,8.2,18.0,0.457,4.4,5.4,0.814,3.8,8.2,11.9,2.8,0.8,1.3,0.0,2.3,20.9
97,Walt Hazzard,PG,31.0,SEA,49.0,0.0,571.0,4.8,11.3,0.422,0.0,0.0,0.0,4.8,11.3,0.422,2.1,2.8,0.756,1.1,2.5,3.6,7.7,1.6,0.4,0.0,4.9,11.7
98,Gar Heard,PF,25.0,BUF,81.0,0.0,2889.0,6.5,15.0,0.435,0.0,0.0,0.0,6.5,15.0,0.435,2.4,3.7,0.65,3.4,8.4,11.8,2.2,1.7,2.9,0.0,3.7,15.4
99,Lou Hudson,SF,29.0,ATL,65.0,0.0,2588.0,9.4,18.9,0.5,0.0,0.0,0.0,9.4,18.9,0.5,4.1,4.9,0.836,1.8,3.1,4.9,3.0,2.2,0.4,0.0,2.9,23.0
100,John Hummer,PF,25.0,TOT,53.0,0.0,1119.0,4.6,9.8,0.472,0.0,0.0,0.0,4.6,9.8,0.472,1.9,4.0,0.476,2.7,6.4,9.1,3.4,0.9,0.7,0.0,3.8,11.2
101,John Hummer,PF,25.0,CHI,18.0,0.0,186.0,4.5,8.9,0.5,0.0,0.0,0.0,4.5,8.9,0.5,2.7,5.4,0.5,2.5,4.6,7.2,2.5,0.6,0.2,0.0,5.8,11.6
