,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
572,John Wall,PG,26.0,WAS,78.0,78.0,2836.0,11.2,24.9,0.451,1.5,4.7,0.327,9.7,20.2,0.48,7.3,9.2,0.801,1.0,4.6,5.7,14.4,2.7,0.9,5.6,2.6,31.4,0.0,111.0,108.0
573,Taurean Waller-Prince,SF,22.0,ATL,59.0,10.0,981.0,5.7,14.3,0.4,1.7,5.1,0.324,4.1,9.2,0.443,3.7,4.7,0.787,1.3,6.6,7.9,2.8,2.2,1.4,3.1,4.8,16.8,0.0,96.0,105.0
574,T.J. Warren,SF,23.0,PHO,66.0,59.0,2048.0,9.4,19.0,0.495,0.6,2.3,0.265,8.8,16.7,0.527,2.8,3.6,0.773,2.9,5.0,7.9,1.8,1.8,0.9,1.3,4.1,22.2,0.0,113.0,113.0
575,C.J. Watson,PG,32.0,ORL,62.0,9.0,1012.0,4.7,12.1,0.387,1.6,5.1,0.305,3.1,7.0,0.448,2.8,3.2,0.864,0.8,3.6,4.4,5.6,2.1,0.1,2.3,4.1,13.8,0.0,103.0,112.0
576,Briante Weber,PG,24.0,TOT,20.0,0.0,205.0,6.1,14.5,0.417,0.2,2.4,0.1,5.8,12.1,0.48,2.7,3.9,0.688,1.9,4.4,6.3,5.1,2.9,0.2,1.9,3.9,15.0,0.0,100.0,107.0
577,Briante Weber,PG,24.0,GSW,7.0,0.0,46.0,5.2,14.6,0.357,0.0,3.1,0.0,5.2,11.5,0.455,2.1,3.1,0.667,0.0,4.2,4.2,5.2,3.1,1.0,3.1,4.2,12.6,0.0,80.0,104.0
578,Briante Weber,PG,24.0,CHO,13.0,0.0,159.0,6.3,14.5,0.435,0.3,2.2,0.143,6.0,12.3,0.487,2.8,4.1,0.692,2.5,4.4,6.9,5.0,2.8,0.0,1.6,3.8,15.8,0.0,106.0,108.0
579,David West,C,36.0,GSW,68.0,0.0,854.0,7.6,14.2,0.536,0.2,0.5,0.375,7.4,13.7,0.541,2.4,3.2,0.768,2.6,8.8,11.4,8.5,2.4,2.7,4.4,5.9,17.8,0.0,109.0,100.0
580,Russell Westbrook,PG,28.0,OKC,81.0,81.0,2802.0,14.4,34.0,0.425,3.5,10.2,0.343,10.9,23.8,0.459,12.4,14.7,0.845,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,0.0,112.0,104.0
581,Okaro White,PF,24.0,MIA,35.0,0.0,471.0,3.5,9.3,0.379,1.3,3.6,0.353,2.2,5.7,0.396,2.1,2.4,0.909,2.7,6.1,8.8,2.2,1.1,1.1,1.9,5.6,10.5,0.0,104.0,108.0
