,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
106,Odie Spears,G,32.0,TOT,11.0,0.0,118.0,12.0,38.0,0.316,0.0,0.0,0.0,12.0,38.0,0.316,0.316,19.0,22.0,0.864,0.0,0.0,15.0,7.0,0.0,0.0,0.0,24.0,43.0
107,Odie Spears,SF,32.0,FTW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,Odie Spears,SF,32.0,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Art Spoelstra,C,24.0,ROC,69.0,0.0,1176.0,217.0,559.0,0.388,0.0,0.0,0.0,217.0,559.0,0.388,0.388,88.0,120.0,0.733,0.0,0.0,220.0,56.0,0.0,0.0,0.0,168.0,522.0
110,Norm Stewart,F,22.0,STL,5.0,0.0,37.0,4.0,15.0,0.267,0.0,0.0,0.0,4.0,15.0,0.267,0.267,2.0,6.0,0.333,0.0,0.0,5.0,2.0,0.0,0.0,0.0,9.0,10.0
111,Maurice Stokes*,PF,23.0,ROC,72.0,0.0,2761.0,434.0,1249.0,0.347,0.0,0.0,0.0,434.0,1249.0,0.347,0.347,256.0,385.0,0.665,0.0,0.0,1256.0,331.0,0.0,0.0,0.0,287.0,1124.0
112,Bill Thieben,PF,21.0,FTW,58.0,0.0,633.0,90.0,256.0,0.352,0.0,0.0,0.0,90.0,256.0,0.352,0.352,57.0,87.0,0.655,0.0,0.0,207.0,17.0,0.0,0.0,0.0,78.0,237.0
113,Lou Tsioropoulos,SF,26.0,BOS,52.0,0.0,670.0,79.0,256.0,0.309,0.0,0.0,0.0,79.0,256.0,0.309,0.309,69.0,89.0,0.775,0.0,0.0,207.0,33.0,0.0,0.0,0.0,135.0,227.0
114,Jim Tucker,PF,24.0,SYR,9.0,0.0,119.0,17.0,44.0,0.386,0.0,0.0,0.0,17.0,44.0,0.386,0.386,0.0,1.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,26.0,34.0
115,Jack Twyman*,SG,22.0,ROC,72.0,0.0,2338.0,449.0,1023.0,0.439,0.0,0.0,0.0,449.0,1023.0,0.439,0.439,276.0,363.0,0.76,0.0,0.0,354.0,123.0,0.0,0.0,0.0,251.0,1174.0
116,Bobby Wanzer*,SG,35.0,ROC,21.0,0.0,159.0,23.0,49.0,0.469,0.0,0.0,0.0,23.0,49.0,0.469,0.469,36.0,46.0,0.783,0.0,0.0,25.0,9.0,0.0,0.0,0.0,20.0,82.0
117,Bob Williams,F,25.0,MNL,4.0,0.0,20.0,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,0.25,0.25,2.0,3.0,0.667,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0
118,George Yardley*,SF,28.0,FTW,72.0,0.0,2691.0,522.0,1273.0,0.41,0.0,0.0,0.0,522.0,1273.0,0.41,0.41,503.0,639.0,0.787,0.0,0.0,755.0,147.0,0.0,0.0,0.0,231.0,1547.0
