,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
70,1956-57,NBA,26.2,6-5,201.0,288.0,0.0,35.9,94.6,0.0,0.0,27.7,36.9,0.0,0.0,62.4,18.9,0.0,0.0,0.0,25.1,99.6,0.38,0.0,0.751,0.0,0.38,0.0,0.0,0.293,0.0
71,1955-56,NBA,26.3,6-5,200.0,288.0,0.0,35.3,91.4,0.0,0.0,28.4,38.0,0.0,0.0,60.1,24.3,0.0,0.0,0.0,26.4,99.0,0.387,0.0,0.745,0.0,0.387,0.0,0.0,0.31,0.0
72,1954-55,NBA,26.7,6-5,197.0,288.0,0.0,33.3,86.4,0.0,0.0,26.5,35.9,0.0,0.0,56.1,23.6,0.0,0.0,0.0,24.8,93.1,0.385,0.0,0.738,0.0,0.385,0.0,0.0,0.307,0.0
73,1953-54,NBA,26.4,6-4,197.0,324.0,0.0,28.1,75.4,0.0,0.0,23.4,33.0,0.0,0.0,50.9,20.3,0.0,0.0,0.0,25.4,79.5,0.372,0.0,0.709,0.0,0.372,0.0,0.0,0.311,0.0
74,1952-53,NBA,26.4,6-4,196.0,351.0,0.0,28.5,77.1,0.0,0.0,25.7,35.9,0.0,0.0,51.5,21.0,0.0,0.0,0.0,28.8,82.7,0.37,0.0,0.716,0.0,0.37,0.0,0.0,0.333,0.0
75,1951-52,NBA,26.3,6-4,195.0,330.0,0.0,29.6,80.8,0.0,0.0,24.4,33.2,0.0,0.0,54.5,21.9,0.0,0.0,0.0,26.9,83.7,0.367,0.0,0.735,0.0,0.367,0.0,0.0,0.302,0.0
76,1950-51,NBA,0.0,,0.0,354.0,0.0,29.8,83.6,0.0,0.0,24.5,33.4,0.0,0.0,49.5,21.0,0.0,0.0,0.0,27.0,84.1,0.357,0.0,0.733,0.0,0.357,0.0,0.0,0.293,0.0
77,1949-50,NBA,0.0,,0.0,561.0,0.0,28.2,83.1,0.0,0.0,23.6,33.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,27.0,80.0,0.34,0.0,0.714,0.0,0.34,0.0,0.0,0.284,0.0
78,1948-49,BAA,0.0,,0.0,360.0,0.0,29.0,88.7,0.0,0.0,22.0,31.3,0.0,0.0,0.0,18.6,0.0,0.0,0.0,25.6,80.0,0.327,0.0,0.703,0.0,0.327,0.0,0.0,0.248,0.0
79,1947-48,BAA,0.0,,0.0,192.0,0.0,27.2,96.0,0.0,0.0,18.2,27.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,22.2,72.7,0.284,0.0,0.675,0.0,0.284,0.0,0.0,0.19,0.0
80,1946-47,BAA,0.0,,0.0,331.0,0.0,25.9,92.9,0.0,0.0,15.9,24.8,0.0,0.0,0.0,6.9,0.0,0.0,0.0,20.8,67.8,0.279,0.0,0.641,0.0,0.279,0.0,0.0,0.171,0.0
